KUNNR,NAME1,LAND1,PSTLZ,ORT01,STRAS,KTOKD,BRSCH,ERDAT,LOEVM
0000100000,Figueroa and Sons,US,18196,North Jefferyhaven,863 Lawrence Valleys,0003,5100,20220325,
0000100001,Wolfe LLC,US,L51 6EQ,Samuelmouth,84959 Janet Cape Apt. 413,0001,1200,20250310,
0000100002,Ramirez-Reid,US,N53 1ZG,Moers,"135, rue Gomes",0002,5100,20250903,
0000100003,François,DE,37672,East Chelsea,"Studio 65
Ashley pass",0001,7100,20210828,
0000100004,Faivre SA,GB,20534,Sankt Goar,9784 Erin Crescent Suite 514,0001,1200,20240409,
0000100005,De Sousa Bernard et Fils,US,G8B 8ZH,Zossen,Niemeiergasse 55,0001,2900,20240610,
0000100006,Hendriks KG,US,11727,Saint Gilbertdan,Hahnstr. 8465,0001,5100,20240724,
0000100007,Hoarau S.A.,US,44814,New Jeffrey,10518 Joshua Oval,0001,2900,20250112,
0000100008,Eigenwillig,US,31903,AubertBourg,6670 Bruce Stream Suite 133,0002,1200,20210907,
0000100009,Meister,US,24731,PerrinVille,26773 Barrera Expressway,0001,1200,20250329,
0000100010,Perrier SARL,DE,36533,Aubert,9 Terry centers,0001,1200,20220108,
0000100011,"Woods, Calhoun and Schmidt",GB,67063,North Brooke,Theodora-Roskoth-Platz 9,0003,7100,20210830,
0000100012,Sandoval-Cunningham,US,DL5 4RF,Saundersland,911 William Curve Suite 135,0001,5100,20201023,
0000100013,Williams PLC,US,B8E 2LE,West Juan,Heidemarie-Schulz-Ring 24-70,0001,2900,20221004,
0000100014,Harper and Sons,US,W86 1DF,Brandiberg,"5, rue Agathe Lacroix",0003,1200,20250429,
0000100015,Dobes,DE,S9T 3GG,Saint Nathalie,"Studio 34k
Margaret well",0001,2900,20220703,
0000100016,Walker-Velasquez,US,44412,Aue,Holstenallee 64,0001,7100,20230613,
0000100017,Leroy,DE,34738,Bad Kissingen,5698 Paul Ports Apt. 406,0003,7100,20250820,
0000100018,"Frost, Ryan and Ball",US,61595,Williamchester,"Studio 48i
Emily shores",0003,1200,20250824,
0000100019,Chauvet Colas SARL,US,70953,Justinchester,"Studio 7
Denise mountains",0001,2900,20250416,
0000100020,Caspar,US,N1W 4JH,Bad Mergentheim,Ullrich-Liebelt-Allee 4676,0001,7100,20240803,
0000100021,Stroh,US,98931,Robinsonhaven,rue de Rivière,0001,2900,20240705,
0000100022,Barthelemy Martineau S.A.S.,US,PO86 2UT,Port Kim,"Studio 34C
Mitchell freeway",0002,1200,20221225,
0000100023,Newton-Henderson,FR,36231,Rémydan,avenue Perrier,0002,1200,20220610,
0000100024,"James, Smith and Bell",US,53651,Füssen,"Studio 0
Holt springs",0002,5100,20250831,
0000100025,Bigot Rodriguez S.A.S.,DE,52146,Lake Roymouth,Kramerring 7755,0002,1200,20220901,
0000100026,Smith-Reeves,US,98677,Jeffreyland,30923 Thomas Crescent,0001,7100,20240912,
0000100027,Thies Hertrampf e.G.,DE,E24 9AN,Auger-sur-Mer,49190 Patel Shore,0001,1200,20211019,
0000100028,Lowe LLC,US,55558,Sainte Agnèsdan,Jasmin-Preiß-Allee 9/8,0001,5100,20220304,
0000100029,Foucher,DE,WF3 4TJ,Bourdon-sur-Laroche,"8, rue Claire Lecomte",0002,2900,20211118,
0000100030,Cook-Shaw,US,B8D 3SU,Spremberg,"2, rue Anne Jacquot",0002,5100,20221004,
0000100031,Spieß Salz GmbH,US,70643,Turnerside,"Studio 74t
Wilson stravenue",0002,2900,20230618,
0000100032,Dussen van Weimer KG,US,37498,Port Gordonport,Lars-Austermühle-Allee 140,0001,1200,20240730,
0000100033,"Curtis, Dawson and Mitchell",US,02108,Jonesmouth,Müllergasse 86,0001,5100,20230419,
0000100034,"Soto, Brown and Hernandez",US,L1 9ZZ,Meppen,"164, rue de Ledoux",0001,7100,20220706,
0000100035,Hahn,US,BT2H 8DG,Hayesfort,4 Campbell motorway,0001,5100,20240403,
0000100036,"Hall, Baker and Moody",US,18324,Beeskow,Mangoldgasse 54-96,0001,1200,20210411,
0000100037,Faure,US,57127,Richardland,Rustgasse 878,0003,7100,20201209,
0000100038,Turner Group,DE,12581,Rossville,Täschestraße 7/9,0002,7100,20251011,
0000100039,Miller-King,US,53477,Gutierrezborough,"Studio 70n
Parry heights",0002,2900,20210723,
0000100040,Rivière,GB,83079,Heinsberg,31712 Cantu Highway Suite 677,0002,2900,20210418,
0000100041,Rohleder Fiebig GmbH,US,14658,West Joelshire,"88, chemin Françoise Ledoux",0001,2900,20241202,
0000100042,Lebrun,GB,96360,Colefurt,"17, boulevard Maury",0002,1200,20211125,
0000100043,Cameron Group,US,69438,Saint Anouk,Zänkerring 29/66,0001,1200,20230612,
0000100044,Toussaint,US,69136,Lake Gabrielle,161 Louise expressway,0001,7100,20231128,
0000100045,Thomas Inc,US,IG6 3WS,Eisenach,379 Jesse Route Suite 740,0001,5100,20240403,
0000100046,Labbé,US,75946,Bradyborough,"4, boulevard Agathe Bruneau",0003,7100,20241210,
0000100047,"Harris, Stewart and Slater",US,B9 4JZ,Lake Karl,104 Rhodes lakes,0001,2900,20240810,
0000100048,Hübel GmbH,US,22305,Peine,74 Roberts mountain,0001,5100,20200612,
0000100049,Webster and Sons,US,71474,Smithside,4965 Emily Mountains Apt. 985,0001,1200,20210714,
0000100050,Bolnbach,GB,89409,Saint BenjaminVille,"Flat 1
Shannon dale",0001,1200,20231205,
0000100051,Lemaître,US,75860,Starnberg,640 Robinson Mills Apt. 515,0003,1200,20250329,
0000100052,Matthews and Sons,DE,60101,Lake Danielle,3293 Maria Plaza,0002,1200,20250418,
0000100053,Hande,DE,29042,Eisenach,05395 Grant Center,0001,5100,20230907,
0000100054,Linke,DE,98236,Weststad,390 Ellis Burgs Apt. 766,0001,1200,20250409,
0000100055,Joseph-Wallace,GB,42720,Cuxhaven,"Studio 9
Price rapids",0001,1200,20231020,
0000100056,Boutin SA,US,73657,ChauveauBourg,"Flat 45j
Rice village",0001,5100,20210123,
0000100057,Reynolds Ltd,US,B98 1SQ,Sainte Joséphine,"Flat 9
Dean shoals",0001,1200,20231120,
0000100058,Nicolas Marty S.A.S.,DE,M9 6XZ,Anthonyview,"Flat 02j
Rees streets",0001,5100,20220606,
0000100059,Reese and Sons,US,53564,West Graeme,2 Marian causeway,0003,1200,20240501,
0000100060,Ramos-Coleman,US,53379,Ilmenau,boulevard Claire Laine,0001,7100,20210416,
0000100061,Quinn PLC,GB,01508,Freudenstadt,Junkengasse 7,0001,5100,20250728,
0000100062,Dumont Gillet S.A.S.,GB,16060,Sainte Hortensenec,"24, rue Victor Picard",0001,2900,20210921,
0000100063,Blanc,US,14349,Maréchal-sur-Hardy,5352 William Crescent Apt. 552,0001,7100,20230329,
0000100064,Fiebig GbR,GB,92127,Samson-sur-Delorme,"695, avenue Mercier",0001,2900,20221022,
0000100065,Lefort,US,PE0 8DN,MorelVille,"Flat 1
Hall plaza",0002,7100,20250211,
0000100066,Stout-Armstrong,GB,97820,Sainte MichèleBourg,Imke-Mangold-Straße 555,0002,5100,20200511,
0000100067,Becker,US,PH0X 1PE,Fleury,Cora-Spieß-Platz 34/26,0001,7100,20200823,
0000100068,"Patel, James and Bradley",DE,85176,ÉtienneVille,"Flat 35
Lucas dam",0001,1200,20230910,
0000100069,Hübel e.V.,DE,67044,Nancyberg,"32, avenue de Bertrand",0001,1200,20250516,
0000100070,Labbé,US,94738,München,Misicherallee 7/9,0001,5100,20220920,
0000100071,Bourgeois Texier S.A.,US,W5 8EN,West Shannon,Traute-Hartung-Straße 10/76,0002,1200,20240303,
0000100072,Cooper Inc,US,B51 2FB,Boothberg,"101, rue Victoire Gérard",0002,5100,20210301,
0000100073,Diallo SARL,GB,10369,Saint Virginiedan,246 Christina Garden,0001,5100,20220416,
0000100074,Chartier Laroche SA,US,B6 0RQ,West Josephstad,Eimergasse 38/85,0001,1200,20220507,
0000100075,Dufour Andre et Fils,US,05400,Finsterwalde,8687 Johnson Rue Apt. 450,0003,2900,20201106,
0000100076,Harvey-Chan,GB,95550,Lemoine,"95, rue Nathalie Lamy",0001,5100,20201225,
0000100077,Morrison-Short,US,CF1 4NT,Blot,"60, avenue de Paris",0001,2900,20231015,
0000100078,Lambert Group,US,G0C 0FD,Karlsruhe,"3, avenue de Lemaître",0002,1200,20220730,
0000100079,Miller-Allen,US,HD43 0GU,Lemaire-la-Forêt,"Flat 94
Thorpe dale",0001,1200,20240926,
0000100080,Thompson-Reeves,GB,89882,Carolynland,"Flat 25
Adrian flats",0003,7100,20211112,
0000100081,Zobel GmbH & Co. KGaA,US,47804,Robertsside,Lorenz-Kruschwitz-Allee 78-26,0001,7100,20250604,
0000100082,Segebahn Briemer GmbH & Co. KG,US,87629,Port Lynn,Paffrathallee 1,0003,7100,20250723,
0000100083,Gehringer Fritsch GmbH,GB,84143,Lake Leon,922 Kirby Port,0001,2900,20220208,
0000100084,Miller Ltd,GB,DL9P 7XN,Smithfurt,"Flat 0
Chloe mall",0001,1200,20240715,
0000100085,Martins,US,G5W 5RF,West Cameronmouth,3210 Dougherty Way Suite 325,0003,5100,20210624,
0000100086,Miller Group,US,63415,Saint Anaïs,"69, rue Carre",0001,5100,20240311,
0000100087,Renault,FR,14590,Aubry,"Flat 06d
Linda plaza",0001,2900,20250514,
0000100088,Cooper Group,GB,E2B 5PX,East Mandy,"1, rue Delannoy",0002,5100,20210107,
0000100089,Reynolds-Bray,DE,95269,Kathleenhaven,"147, chemin Margot Masson",0001,1200,20240705,
0000100090,Pages,GB,78739,Bègue,Geißlerstr. 3-4,0002,7100,20201215,
0000100091,"Vaughan, Rodriguez and Smith",GB,CV63 8ZU,New Jared,"Studio 65
Kelly place",0001,2900,20250401,
0000100092,"Nixon, Clements and Atkinson",DE,W3D 8NJ,Geraldineborough,"95, chemin de Hervé",0001,5100,20230907,
0000100093,"Rhodes, James and Baird",DE,M04 5TL,Renaud,"Flat 19
Norman causeway",0002,2900,20240403,
0000100094,Heintze,US,13634,Wagner,rue de Thomas,0001,5100,20230410,
0000100095,Söding Mülichen GmbH & Co. KGaA,US,54019,Eisenach,"7, rue Océane Charpentier",0001,2900,20220402,
0000100096,Evans PLC,US,44415,Scottside,"474, chemin Goncalves",0001,1200,20210219,
