KUNNR,VKORG,VTWEG,SPART,PARVW,KUNN2
0000100000,2000,20,00,AG,0000100000
0000100000,2000,20,00,WE,0000100000
0000100000,2000,20,00,RE,0000100000
0000100000,2000,20,00,RG,0000100000
0000100001,1000,20,02,AG,0000100001
0000100001,1000,20,02,WE,0000100001
0000100001,1000,20,02,RE,0000100001
0000100001,1000,20,02,RG,0000100001
0000100002,3000,10,02,AG,0000100002
0000100002,3000,10,02,WE,0000100002
0000100002,3000,10,02,RE,0000100002
0000100002,3000,10,02,RG,0000100002
0000100003,2000,30,01,AG,0000100003
0000100003,2000,30,01,WE,0000100003
0000100003,2000,30,01,RE,0000100003
0000100003,2000,30,01,RG,0000100003
0000100003,1000,20,00,AG,0000100003
0000100003,1000,20,00,WE,0000100003
0000100003,1000,20,00,RE,0000100003
0000100003,1000,20,00,RG,0000100003
0000100004,2000,10,02,AG,0000100004
0000100004,2000,10,02,WE,0000100004
0000100004,2000,10,02,RE,0000100004
0000100004,2000,10,02,RG,0000100004
0000100005,3000,20,02,AG,0000100005
0000100005,3000,20,02,WE,0000100005
0000100005,3000,20,02,RE,0000100005
0000100005,3000,20,02,RG,0000100005
0000100006,2000,30,00,AG,0000100006
0000100006,2000,30,00,WE,0000100006
0000100006,2000,30,00,RE,0000100006
0000100006,2000,30,00,RG,0000100006
0000100007,2000,20,00,AG,0000100007
0000100007,2000,20,00,WE,0000100007
0000100007,2000,20,00,RE,0000100007
0000100007,2000,20,00,RG,0000100007
0000100008,1000,20,01,AG,0000100008
0000100008,1000,20,01,WE,0000100008
0000100008,1000,20,01,RE,0000100008
0000100008,1000,20,01,RG,0000100008
0000100008,1000,20,00,AG,0000100008
0000100008,1000,20,00,WE,0000100008
0000100008,1000,20,00,RE,0000100008
0000100008,1000,20,00,RG,0000100008
0000100009,1000,10,00,AG,0000100009
0000100009,1000,10,00,WE,0000100009
0000100009,1000,10,00,RE,0000100009
0000100009,1000,10,00,RG,0000100009
0000100010,2000,10,01,AG,0000100010
0000100010,2000,10,01,WE,0000100010
0000100010,2000,10,01,RE,0000100010
0000100010,2000,10,01,RG,0000100010
0000100011,1000,10,01,AG,0000100011
0000100011,1000,10,01,WE,0000100011
0000100011,1000,10,01,RE,0000100011
0000100011,1000,10,01,RG,0000100011
0000100012,1000,10,00,AG,0000100012
0000100012,1000,10,00,WE,0000100012
0000100012,1000,10,00,RE,0000100012
0000100012,1000,10,00,RG,0000100012
0000100013,2000,10,02,AG,0000100013
0000100013,2000,10,02,WE,0000100013
0000100013,2000,10,02,RE,0000100013
0000100013,2000,10,02,RG,0000100013
0000100014,1000,20,00,AG,0000100014
0000100014,1000,20,00,WE,0000100014
0000100014,1000,20,00,RE,0000100014
0000100014,1000,20,00,RG,0000100014
0000100014,1000,20,00,AG,0000100014
0000100014,1000,20,00,WE,0000100014
0000100014,1000,20,00,RE,0000100014
0000100014,1000,20,00,RG,0000100014
0000100015,1000,20,00,AG,0000100015
0000100015,1000,20,00,WE,0000100015
0000100015,1000,20,00,RE,0000100015
0000100015,1000,20,00,RG,0000100015
0000100016,1000,30,00,AG,0000100016
0000100016,1000,30,00,WE,0000100016
0000100016,1000,30,00,RE,0000100016
0000100016,1000,30,00,RG,0000100016
0000100017,1000,10,01,AG,0000100017
0000100017,1000,10,01,WE,0000100017
0000100017,1000,10,01,RE,0000100017
0000100017,1000,10,01,RG,0000100017
0000100018,1000,30,00,AG,0000100018
0000100018,1000,30,00,WE,0000100018
0000100018,1000,30,00,RE,0000100018
0000100018,1000,30,00,RG,0000100018
0000100019,1000,20,00,AG,0000100019
0000100019,1000,20,00,WE,0000100019
0000100019,1000,20,00,RE,0000100019
0000100019,1000,20,00,RG,0000100019
0000100020,1000,20,02,AG,0000100020
0000100020,1000,20,02,WE,0000100020
0000100020,1000,20,02,RE,0000100020
0000100020,1000,20,02,RG,0000100020
0000100021,1000,30,02,AG,0000100021
0000100021,1000,30,02,WE,0000100021
0000100021,1000,30,02,RE,0000100021
0000100021,1000,30,02,RG,0000100021
0000100022,2000,10,00,AG,0000100022
0000100022,2000,10,00,WE,0000100022
0000100022,2000,10,00,RE,0000100022
0000100022,2000,10,00,RG,0000100022
0000100023,3000,20,00,AG,0000100023
0000100023,3000,20,00,WE,0000100023
0000100023,3000,20,00,RE,0000100023
0000100023,3000,20,00,RG,0000100023
0000100023,1000,10,00,AG,0000100023
0000100023,1000,10,00,WE,0000100023
0000100023,1000,10,00,RE,0000100023
0000100023,1000,10,00,RG,0000100023
0000100024,2000,30,00,AG,0000100024
0000100024,2000,30,00,WE,0000100024
0000100024,2000,30,00,RE,0000100024
0000100024,2000,30,00,RG,0000100024
0000100024,1000,10,00,AG,0000100024
0000100024,1000,10,00,WE,0000100024
0000100024,1000,10,00,RE,0000100024
0000100024,1000,10,00,RG,0000100024
0000100025,1000,10,00,AG,0000100025
0000100025,1000,10,00,WE,0000100025
0000100025,1000,10,00,RE,0000100025
0000100025,1000,10,00,RG,0000100025
0000100026,1000,30,00,AG,0000100026
0000100026,1000,30,00,WE,0000100026
0000100026,1000,30,00,RE,0000100026
0000100026,1000,30,00,RG,0000100026
0000100026,1000,20,00,AG,0000100026
0000100026,1000,20,00,WE,0000100026
0000100026,1000,20,00,RE,0000100026
0000100026,1000,20,00,RG,0000100026
0000100027,1000,20,01,AG,0000100027
0000100027,1000,20,01,WE,0000100027
0000100027,1000,20,01,RE,0000100027
0000100027,1000,20,01,RG,0000100027
0000100028,2000,20,00,AG,0000100028
0000100028,2000,20,00,WE,0000100028
0000100028,2000,20,00,RE,0000100028
0000100028,2000,20,00,RG,0000100028
0000100029,2000,20,00,AG,0000100029
0000100029,2000,20,00,WE,0000100029
0000100029,2000,20,00,RE,0000100029
0000100029,2000,20,00,RG,0000100029
0000100030,1000,10,00,AG,0000100030
0000100030,1000,10,00,WE,0000100030
0000100030,1000,10,00,RE,0000100030
0000100030,1000,10,00,RG,0000100030
0000100031,2000,10,00,AG,0000100031
0000100031,2000,10,00,WE,0000100031
0000100031,2000,10,00,RE,0000100031
0000100031,2000,10,00,RG,0000100031
0000100032,1000,10,01,AG,0000100032
0000100032,1000,10,01,WE,0000100032
0000100032,1000,10,01,RE,0000100032
0000100032,1000,10,01,RG,0000100032
0000100033,1000,30,00,AG,0000100033
0000100033,1000,30,00,WE,0000100033
0000100033,1000,30,00,RE,0000100033
