MATNR,WERKS,PSTAT,LVORM,DISMM,DISPO,EKGRP
000000000000000001,2000,KE,,PD,001,001
000000000000000002,2000,KE,,PD,001,001
000000000000000003,3000,KE,,PD,001,001
000000000000000004,3000,KE,,PD,001,001
000000000000000004,1000,KE,,PD,001,001
000000000000000005,1000,KE,,PD,001,001
000000000000000006,1000,KE,,PD,001,001
000000000000000006,2000,KE,,PD,001,001
000000000000000007,2000,KE,,PD,001,001
000000000000000008,1000,KE,,PD,001,001
000000000000000009,2000,KE,,PD,001,001
000000000000000009,3000,KE,,PD,001,001
000000000000000010,2000,KE,,PD,001,001
000000000000000011,1000,KE,,PD,001,001
000000000000000012,1000,KE,,PD,001,001
000000000000000013,2000,KE,,PD,001,001
000000000000000013,1000,KE,,PD,001,001
000000000000000014,1000,KE,,PD,001,001
000000000000000015,2000,KE,,PD,001,001
000000000000000016,1000,KE,,PD,001,001
000000000000000016,3000,KE,,PD,001,001
000000000000000017,1000,KE,,PD,001,001
000000000000000018,3000,KE,,PD,001,001
000000000000000018,1000,KE,,PD,001,001
000000000000000018,2000,KE,,PD,001,001
000000000000000019,2000,KE,,PD,001,001
000000000000000020,1000,KE,,PD,001,001
000000000000000020,3000,KE,,PD,001,001
000000000000000021,2000,KE,,PD,001,001
000000000000000022,1000,KE,,PD,001,001
000000000000000022,3000,KE,,PD,001,001
000000000000000023,1000,KE,,PD,001,001
000000000000000023,3000,KE,,PD,001,001
000000000000000024,1000,KE,,PD,001,001
000000000000000024,3000,KE,,PD,001,001
000000000000000024,2000,KE,,PD,001,001
000000000000000025,2000,KE,,PD,001,001
000000000000000026,3000,KE,,PD,001,001
000000000000000026,1000,KE,,PD,001,001
000000000000000027,2000,KE,,PD,001,001
000000000000000028,2000,KE,,PD,001,001
000000000000000029,3000,KE,,PD,001,001
000000000000000030,3000,KE,,PD,001,001
000000000000000030,1000,KE,,PD,001,001
000000000000000031,2000,KE,,PD,001,001
000000000000000032,3000,KE,,PD,001,001
000000000000000032,1000,KE,,PD,001,001
000000000000000032,2000,KE,,PD,001,001
000000000000000033,3000,KE,,PD,001,001
000000000000000034,1000,KE,,PD,001,001
000000000000000035,1000,KE,,PD,001,001
000000000000000035,3000,KE,,PD,001,001
000000000000000036,2000,KE,,PD,001,001
000000000000000036,3000,KE,,PD,001,001
000000000000000037,2000,KE,,PD,001,001
000000000000000037,3000,KE,,PD,001,001
000000000000000037,1000,KE,,PD,001,001
000000000000000038,3000,KE,,PD,001,001
000000000000000038,2000,KE,,PD,001,001
000000000000000038,1000,KE,,PD,001,001
000000000000000039,1000,KE,,PD,001,001
000000000000000040,3000,KE,,PD,001,001
000000000000000040,1000,KE,,PD,001,001
000000000000000040,2000,KE,,PD,001,001
000000000000000041,3000,KE,,PD,001,001
000000000000000042,1000,KE,,PD,001,001
000000000000000043,3000,KE,,PD,001,001
000000000000000044,2000,KE,,PD,001,001
000000000000000045,1000,KE,,PD,001,001
000000000000000045,3000,KE,,PD,001,001
000000000000000046,1000,KE,,PD,001,001
000000000000000046,2000,KE,,PD,001,001
000000000000000046,3000,KE,,PD,001,001
000000000000000047,1000,KE,,PD,001,001
000000000000000048,1000,KE,,PD,001,001
000000000000000049,2000,KE,,PD,001,001
000000000000000049,3000,KE,,PD,001,001
000000000000000050,2000,KE,,PD,001,001
000000000000000051,2000,KE,,PD,001,001
000000000000000052,2000,KE,,PD,001,001
000000000000000052,3000,KE,,PD,001,001
000000000000000052,1000,KE,,PD,001,001
000000000000000053,2000,KE,,PD,001,001
000000000000000054,3000,KE,,PD,001,001
000000000000000055,2000,KE,,PD,001,001
000000000000000055,3000,KE,,PD,001,001
000000000000000056,1000,KE,,PD,001,001
000000000000000057,3000,KE,,PD,001,001
000000000000000057,1000,KE,,PD,001,001
000000000000000057,2000,KE,,PD,001,001
000000000000000058,2000,KE,,PD,001,001
000000000000000058,1000,KE,,PD,001,001
000000000000000058,3000,KE,,PD,001,001
000000000000000059,1000,KE,,PD,001,001
000000000000000060,2000,KE,,PD,001,001
000000000000000060,1000,KE,,PD,001,001
000000000000000060,3000,KE,,PD,001,001
000000000000000061,3000,KE,,PD,001,001
000000000000000061,2000,KE,,PD,001,001
000000000000000062,2000,KE,,PD,001,001
000000000000000062,3000,KE,,PD,001,001
000000000000000062,1000,KE,,PD,001,001
000000000000000063,2000,KE,,PD,001,001
000000000000000063,3000,KE,,PD,001,001
000000000000000064,3000,KE,,PD,001,001
000000000000000064,1000,KE,,PD,001,001
000000000000000064,2000,KE,,PD,001,001
000000000000000065,1000,KE,,PD,001,001
000000000000000066,3000,KE,,PD,001,001
000000000000000067,3000,KE,,PD,001,001
000000000000000068,3000,KE,,PD,001,001
000000000000000069,2000,KE,,PD,001,001
000000000000000069,3000,KE,,PD,001,001
000000000000000069,1000,KE,,PD,001,001
000000000000000070,3000,KE,,PD,001,001
000000000000000070,2000,KE,,PD,001,001
000000000000000071,1000,KE,,PD,001,001
000000000000000071,2000,KE,,PD,001,001
000000000000000072,2000,KE,,PD,001,001
000000000000000073,1000,KE,,PD,001,001
000000000000000074,2000,KE,,PD,001,001
000000000000000075,3000,KE,,PD,001,001
000000000000000075,2000,KE,,PD,001,001
000000000000000075,1000,KE,,PD,001,001
000000000000000076,3000,KE,,PD,001,001
000000000000000077,2000,KE,,PD,001,001
000000000000000078,2000,KE,,PD,001,001
000000000000000078,3000,KE,,PD,001,001
000000000000000078,1000,KE,,PD,001,001
000000000000000079,1000,KE,,PD,001,001
000000000000000080,1000,KE,,PD,001,001
000000000000000080,2000,KE,,PD,001,001
000000000000000080,3000,KE,,PD,001,001
000000000000000081,1000,KE,,PD,001,001
000000000000000081,2000,KE,,PD,001,001
000000000000000081,3000,KE,,PD,001,001
000000000000000082,2000,KE,,PD,001,001
