VBELN,ERNAM,ERDAT,ERZET,WADAT_IST,WADAT,LFART,VKORG,VSTEL,KUNNR,INCO1,LIFSK,KODAT
8000000001,WHSUSER,20251011,115300,20251011,20251012,LF,1000,10001,0000102951,EXW,,20251011
8000000002,WHSUSER,20251001,152300,20251001,20251002,LF,2000,20001,0000103586,EXW,,20251001
8000000003,WHSUSER,20251001,083300,20251001,20251002,LF,1000,10001,0000104982,EXW,,20251001
8000000004,WHSUSER,20251017,165000,20251017,20251018,LF,3000,30001,0000104330,EXW,,20251017
8000000005,WHSUSER,20251015,150600,20251015,20251016,LF,2000,20001,0000102753,EXW,,20251015
8000000006,WHSUSER,20251025,144300,20251025,20251026,LF,1000,10001,0000101736,EXW,,20251025
8000000007,WHSUSER,20251013,102700,20251013,20251014,LF,1000,10001,0000102112,EXW,,20251013
8000000008,WHSUSER,20251026,101100,20251026,20251027,LF,2000,20001,0000102825,EXW,,20251026
8000000009,WHSUSER,20251004,144900,20251004,20251005,LF,2000,20001,0000100402,EXW,,20251004
8000000010,WHSUSER,20251012,142600,20251012,20251013,LF,1000,10001,0000100403,EXW,,20251012
8000000011,WHSUSER,20250927,173100,20250927,20250928,LF,1000,10001,0000104453,EXW,,20250927
8000000012,WHSUSER,20251025,140300,20251025,20251026,LF,1000,10001,0000104170,EXW,,20251025
8000000013,WHSUSER,20251007,164300,20251007,20251008,LF,1000,10001,0000102179,EXW,,20251007
8000000014,WHSUSER,20251012,082800,20251012,20251013,LF,1000,10001,0000101631,EXW,,20251012
8000000015,WHSUSER,20251018,175900,20251018,20251019,LF,2000,20001,0000104140,EXW,,20251018
8000000016,WHSUSER,20251014,172000,20251014,20251015,LF,1000,10001,0000101932,EXW,,20251014
8000000017,WHSUSER,20251027,171500,20251027,20251028,LF,1000,10001,0000100215,EXW,,20251027
8000000018,WHSUSER,20251002,174900,20251002,20251003,LF,1000,10001,0000103131,EXW,,20251002
8000000019,WHSUSER,20251025,172600,20251025,20251026,LF,2000,20001,0000103759,EXW,,20251025
8000000020,WHSUSER,20251010,175400,20251010,20251011,LF,1000,10001,0000104702,EXW,,20251010
8000000021,WHSUSER,20251027,081100,20251027,20251028,LF,2000,20001,0000100504,EXW,,20251027
8000000022,WHSUSER,20251009,114600,20251009,20251010,LF,1000,10001,0000102894,EXW,,20251009
8000000023,WHSUSER,20251015,152700,20251015,20251016,LF,2000,20001,0000103947,EXW,,20251015
8000000024,WHSUSER,20251014,132900,20251014,20251015,LF,1000,10001,0000104258,EXW,,20251014
8000000025,WHSUSER,20251030,133800,20251030,20251031,LF,2000,20001,0000103130,EXW,,20251030
8000000026,WHSUSER,20251018,080800,20251018,20251019,LF,2000,20001,0000101057,EXW,,20251018
8000000027,WHSUSER,20251011,162600,20251011,20251012,LF,1000,10001,0000103801,EXW,,20251011
8000000028,WHSUSER,20251003,083900,20251003,20251004,LF,1000,10001,0000103162,EXW,,20251003
8000000029,WHSUSER,20250929,131200,20250929,20250930,LF,1000,10001,0000104019,EXW,,20250929
8000000030,WHSUSER,20251016,161100,20251016,20251017,LF,3000,30001,0000101798,EXW,,20251016
8000000031,WHSUSER,20251001,172200,20251001,20251002,LF,1000,10001,0000102932,EXW,,20251001
8000000032,WHSUSER,20251023,130500,20251023,20251024,LF,1000,10001,0000103744,EXW,,20251023
8000000033,WHSUSER,20251008,082100,20251008,20251009,LF,1000,10001,0000102899,EXW,,20251008
8000000034,WHSUSER,20251024,141700,20251024,20251025,LF,1000,10001,0000101358,EXW,,20251024
8000000035,WHSUSER,20251024,123200,20251024,20251025,LF,2000,20001,0000104662,EXW,,20251024
8000000036,WHSUSER,20251002,164200,20251002,20251003,LF,1000,10001,0000102091,EXW,,20251002
