VBELN,ERDAT,ERZET,ERNAM,AEDAT,AUDAT,VBTYP,AUART,VKORG,VTWEG,SPART,KUNNR,VKBUR,VKGRP,NETWR,WAERK,GBSTK,ABSTK,LIFSK,FAKSK
0001000001,20250925,083814,SALESUSER,,20250925,C,ZOR,1000,20,01,0000100842,10001,001,0,USD,B,,,
0001000002,20250925,085356,SALESUSER,20250925,20250925,C,OR,2000,20,00,0000101421,20001,001,0,EUR,C,,,
0001000003,20250925,083346,SALESUSER,,20250925,C,OR,3000,30,00,0000104584,30001,001,0,EUR,A,,01,
0001000004,20250925,083637,SALESUSER,,20250925,C,ZOR,2000,30,02,0000102135,20001,001,0,EUR,B,,,
0001000005,20250925,084145,SALESUSER,,20250925,C,OR,1000,20,00,0000102232,10001,001,0,USD,B,,,
0001000006,20250925,083504,SALESUSER,,20250925,C,OR,2000,30,00,0000100876,20001,001,0,EUR,B,,,
0001000007,20250925,084530,SALESUSER,,20250925,C,OR,1000,10,02,0000102932,10001,001,0,USD,B,,,
0001000008,20250925,085224,SALESUSER,,20250925,C,OR,1000,10,00,0000100978,10001,001,0,USD,A,,,
0001000009,20250925,081749,SALESUSER,,20250925,C,OR,1000,30,00,0000101956,10001,001,0,USD,C,,,
0001000010,20250925,083923,SALESUSER,,20250925,C,OR,1000,10,01,0000101262,10001,001,0,USD,C,,,
0001000011,20250925,084006,SALESUSER,20250925,20250925,C,OR,2000,10,00,0000101869,20001,001,0,EUR,C,,,01
0001000012,20250925,080755,SALESUSER,,20250925,C,ZOR,1000,20,02,0000102349,10001,001,0,USD,A,,,
0001000013,20250925,081903,SALESUSER,,20250925,C,ZOR,1000,30,00,0000102097,10001,001,0,USD,A,,,
0001000014,20250925,085053,SALESUSER,,20250925,C,ZOR,1000,20,00,0000103238,10001,001,0,USD,B,,,
0001000015,20250925,080319,SALESUSER,,20250925,C,OR,2000,10,00,0000101078,20001,001,0,EUR,C,,,
0001000016,20250925,083634,SALESUSER,,20250925,C,OR,2000,20,01,0000100297,20001,001,0,EUR,A,,,
0001000017,20250925,084732,SALESUSER,20250925,20250925,C,QT,3000,10,01,0000103810,30001,001,0,EUR,A,,,
0001000018,20250925,085912,SALESUSER,,20250925,C,QT,1000,10,02,0000102849,10001,001,0,USD,C,,,
0001000019,20250925,084016,SALESUSER,20250925,20250925,C,OR,2000,10,00,0000104880,20001,001,0,EUR,B,,,
0001000020,20250925,084845,SALESUSER,20250925,20250925,C,OR,1000,10,01,0000103573,10001,001,0,USD,C,,01,
0001000021,20250925,084839,SALESUSER,,20250925,C,OR,1000,10,02,0000101115,10001,001,0,USD,C,,,
0001000022,20250925,081919,SALESUSER,,20250925,C,ZOR,1000,30,01,0000103885,10001,001,0,USD,B,,,
0001000023,20250925,081711,SALESUSER,,20250925,C,ZOR,3000,10,01,0000101886,30001,001,0,EUR,B,,,
0001000024,20250925,084128,SALESUSER,,20250925,C,ZOR,1000,10,02,0000101564,10001,001,0,USD,A,,,
0001000025,20250925,085502,SALESUSER,,20250925,C,OR,2000,20,02,0000104014,20001,001,0,EUR,B,,,
0001000026,20250925,081123,SALESUSER,,20250925,C,OR,2000,10,01,0000102533,20001,001,0,EUR,A,,,
0001000027,20250925,085835,SALESUSER,20250925,20250925,C,OR,1000,30,02,0000101842,10001,001,0,USD,B,,,
0001000028,20250925,083610,SALESUSER,,20250925,C,ZOR,3000,30,00,0000100283,30001,001,0,EUR,C,,,
0001000029,20250925,083323,SALESUSER,20250925,20250925,C,OR,2000,10,00,0000101965,20001,001,0,EUR,A,,,
0001000030,20250925,082159,SALESUSER,,20250925,C,OR,2000,10,00,0000100193,20001,001,0,EUR,A,,,
0001000031,20250925,082924,SALESUSER,,20250925,C,OR,2000,30,00,0000102505,20001,001,0,EUR,A,,,
0001000032,20250925,084234,SALESUSER,20250925,20250925,C,ZOR,1000,10,02,0000103491,10001,001,0,USD,A,,,
0001000033,20250925,082255,SALESUSER,,20250925,C,OR,1000,10,00,0000103148,10001,001,0,USD,C,,,
0001000034,20250925,080509,SALESUSER,,20250925,C,OR,2000,30,00,0000100493,20001,001,0,EUR,A,,,01
0001000035,20250925,085252,SALESUSER,20250925,20250925,C,OR,1000,30,01,0000100403,10001,001,0,USD,B,,,
0001000036,20250925,084132,SALESUSER,,20250925,C,ZOR,1000,20,00,0000102843,10001,001,0,USD,B,,,
0001000037,20250925,080448,SALESUSER,,20250925,C,OR,2000,20,00,0000102825,20001,001,0,EUR,C,,,
0001000038,20250925,081953,SALESUSER,,20250925,C,ZOR,2000,20,00,0000101943,20001,001,0,EUR,C,,,
0001000039,20250925,081114,SALESUSER,,20250925,C,OR,1000,30,00,0000104598,10001,001,0,USD,A,,01,
0001000040,20250925,085149,SALESUSER,,20250925,C,OR,3000,30,01,0000101418,30001,001,0,EUR,C,,01,
0001000041,20250925,083850,SALESUSER,,20250925,C,OR,1000,10,00,0000104051,10001,001,0,USD,A,,,
0001000042,20250925,082550,SALESUSER,,20250925,C,QT,2000,30,00,0000101296,20001,001,0,EUR,C,,,01
0001000043,20250925,084238,SALESUSER,,20250925,C,OR,1000,10,00,0000101956,10001,001,0,USD,B,,01,
0001000044,20250925,082028,SALESUSER,,20250925,C,ZOR,2000,10,01,0000102968,20001,001,0,EUR,B,,,
0001000045,20250925,095016,SALESUSER,20250925,20250925,C,QT,2000,10,00,0000103200,20001,001,0,EUR,A,,,
0001000046,20250925,092654,SALESUSER,,20250925,C,OR,1000,10,00,0000101797,10001,001,0,USD,A,,,
0001000047,20250925,094824,SALESUSER,,20250925,C,OR,1000,10,00,0000104596,10001,001,0,USD,C,,,01
0001000048,20250925,095010,SALESUSER,20250925,20250925,C,OR,1000,10,01,0000100644,10001,001,0,USD,A,,,01
0001000049,20250925,093112,SALESUSER,,20250925,C,OR,1000,30,00,0000103767,10001,001,0,USD,A,,,
0001000050,20250925,091803,SALESUSER,20250925,20250925,C,OR,1000,20,00,0000100877,10001,001,0,USD,A,,,
0001000051,20250925,093422,SALESUSER,,20250925,C,OR,1000,10,02,0000102841,10001,001,0,USD,B,,,01
0001000052,20250925,092845,SALESUSER,,20250925,C,OR,2000,10,01,0000102518,20001,001,0,EUR,B,,,
0001000053,20250925,094140,SALESUSER,,20250925,C,OR,2000,20,02,0000102696,20001,001,0,EUR,A,,,
0001000054,20250925,094726,SALESUSER,20250925,20250925,C,OR,1000,10,02,0000100737,10001,001,0,USD,C,,,
0001000055,20250925,094955,SALESUSER,,20250925,C,OR,2000,20,00,0000101018,20001,001,0,EUR,A,,,01
0001000056,20250925,091746,SALESUSER,,20250925,C,OR,1000,10,00,0000103681,10001,001,0,USD,C,,,
0001000057,20250925,093216,SALESUSER,20250925,20250925,C,ZOR,2000,10,00,0000103707,20001,001,0,EUR,B,,,
0001000058,20250925,093725,SALESUSER,,20250925,C,ZOR,1000,30,01,0000102620,10001,001,0,USD,A,,,
0001000059,20250925,093438,SALESUSER,,20250925,C,OR,2000,30,01,0000104287,20001,001,0,EUR,B,,,
0001000060,20250925,092920,SALESUSER,20250925,20250925,C,OR,1000,10,00,0000102904,10001,001,0,USD,B,,,
0001000061,20250925,092627,SALESUSER,,20250925,C,OR,1000,20,00,0000104001,10001,001,0,USD,B,,,
0001000062,20250925,090537,SALESUSER,,20250925,C,OR,2000,10,01,0000102626,20001,001,0,EUR,A,,,
0001000063,20250925,095655,SALESUSER,,20250925,C,OR,2000,10,00,0000101184,20001,001,0,EUR,B,,,01
0001000064,20250925,091641,SALESUSER,,20250925,C,OR,1000,20,00,0000102904,10001,001,0,USD,C,,,
0001000065,20250925,091328,SALESUSER,,20250925,C,ZOR,1000,10,01,0000101553,10001,001,0,USD,A,,,
0001000066,20250925,095359,SALESUSER,,20250925,C,OR,1000,20,01,0000103567,10001,001,0,USD,A,,,
0001000067,20250925,091524,SALESUSER,,20250925,C,ZOR,2000,10,00,0000103199,20001,001,0,EUR,C,,,
0001000068,20250925,092705,SALESUSER,20250925,20250925,C,QT,2000,30,01,0000102193,20001,001,0,EUR,C,,,
0001000069,20250925,095739,SALESUSER,,20250925,C,OR,2000,10,00,0000103050,20001,001,0,EUR,B,,,
0001000070,20250925,094313,SALESUSER,,20250925,C,OR,1000,10,01,0000100591,10001,001,0,USD,A,,,
0001000071,20250925,094146,SALESUSER,,20250925,C,ZOR,1000,20,02,0000101855,10001,001,0,USD,B,,,01
0001000072,20250925,090421,SALESUSER,,20250925,C,OR,2000,10,02,0000102326,20001,001,0,EUR,A,,,
0001000073,20250925,094456,SALESUSER,20250925,20250925,C,OR,1000,30,01,0000102133,10001,001,0,USD,B,,,
0001000074,20250925,094517,SALESUSER,20250925,20250925,C,OR,1000,30,01,0000101631,10001,001,0,USD,C,,,
0001000075,20250925,094341,SALESUSER,,20250925,C,ZOR,1000,30,01,0000100053,10001,001,0,USD,C,,,
0001000076,20250925,091016,SALESUSER,,20250925,C,OR,1000,20,02,0000103233,10001,001,0,USD,C,,,
0001000077,20250925,092512,SALESUSER,20250925,20250925,C,OR,2000,20,02,0000104810,20001,001,0,EUR,C,,,
0001000078,20250925,095346,SALESUSER,,20250925,C,OR,1000,10,00,0000102052,10001,001,0,USD,A,,,
0001000079,20250925,095629,SALESUSER,,20250925,C,OR,3000,20,00,0000100101,30001,001,0,EUR,C,,,
0001000080,20250925,095840,SALESUSER,20250925,20250925,C,QT,3000,10,01,0000104357,30001,001,0,EUR,C,,,
0001000081,20250925,104544,SALESUSER,20250925,20250925,C,ZOR,1000,20,01,0000102154,10001,001,0,USD,A,,,
0001000082,20250925,105859,SALESUSER,,20250925,C,ZOR,2000,10,01,0000103029,20001,001,0,EUR,B,,01,
0001000083,20250925,105101,SALESUSER,,20250925,C,ZOR,2000,10,00,0000104134,20001,001,0,EUR,A,,,
0001000084,20250925,104753,SALESUSER,,20250925,C,OR,2000,30,02,0000104945,20001,001,0,EUR,A,,,
0001000085,20250925,100914,SALESUSER,20250925,20250925,C,OR,3000,10,01,0000101048,30001,001,0,EUR,A,,,
0001000086,20250925,105911,SALESUSER,,20250925,C,ZOR,1000,30,00,0000101490,10001,001,0,USD,A,,,
0001000087,20250925,102532,SALESUSER,,20250925,C,OR,1000,10,00,0000102034,10001,001,0,USD,A,,,01
0001000088,20250925,101432,SALESUSER,,20250925,C,OR,1000,30,00,0000101291,10001,001,0,USD,B,,,
0001000089,20250925,104518,SALESUSER,20250925,20250925,C,ZOR,1000,10,00,0000102515,10001,001,0,USD,B,,,
0001000090,20250925,104239,SALESUSER,,20250925,C,OR,3000,20,00,0000102845,30001,001,0,EUR,A,,,
