VBELN,POSNR,ETENR,EDATU,BMENG,VRKME,ERDAT
0001000001,000010,0001,20250927,51.506,EA,20250925
0001000001,000020,0001,20251003,2.526,EA,20250925
0001000001,000030,0001,20250926,10.049,L,20250925
0001000001,000040,0001,20251009,0.924,EA,20250925
0001000001,000050,0001,20251004,27.063,L,20250925
0001000002,000010,0001,20251003,22.402,EA,20250925
0001000002,000020,0001,20251002,8.477,EA,20250925
0001000002,000030,0001,20250926,22.249,EA,20250925
0001000002,000040,0001,20250927,30.888,EA,20250925
0001000002,000050,0001,20250930,137.549,KG,20250925
0001000002,000060,0001,20251002,15.878,EA,20250925
0001000002,000070,0001,20251003,22.306,EA,20250925
0001000003,000010,0001,20250928,41.137,EA,20250925
0001000003,000020,0001,20251009,11.7445,EA,20250925
0001000003,000020,0002,20250929,11.7445,EA,20250925
0001000003,000030,0001,20251009,10.205,EA,20250925
0001000003,000040,0001,20251009,26.919,L,20250925
0001000003,000050,0001,20251004,56.165,EA,20250925
0001000003,000060,0001,20250930,12.194,EA,20250925
0001000004,000010,0001,20251009,4.191,EA,20250925
0001000004,000020,0001,20251005,31.577,EA,20250925
0001000004,000030,0001,20251006,11.478,EA,20250925
0001000004,000040,0001,20251003,55.09,EA,20250925
0001000004,000050,0001,20251009,221.764,EA,20250925
0001000004,000060,0001,20251006,27.468,EA,20250925
0001000004,000070,0001,20251005,27.646,EA,20250925
0001000004,000080,0001,20250927,43.885,EA,20250925
0001000004,000090,0001,20251002,53.9085,EA,20250925
0001000004,000090,0002,20250928,53.9085,EA,20250925
0001000005,000010,0001,20251006,3.8685,EA,20250925
0001000005,000010,0002,20250926,3.8685,EA,20250925
0001000005,000020,0001,20250928,9.593,EA,20250925
0001000005,000030,0001,20250928,5.6025,EA,20250925
0001000005,000030,0002,20251009,5.6025,EA,20250925
0001000005,000040,0001,20251007,10.062,EA,20250925
0001000005,000050,0001,20251006,226.625,L,20250925
0001000005,000060,0001,20250929,29.491,EA,20250925
0001000005,000070,0001,20250928,171.76,EA,20250925
0001000005,000080,0001,20251004,5.601,KG,20250925
0001000006,000010,0001,20251007,90.555,EA,20250925
0001000006,000020,0001,20251007,3.628,KG,20250925
0001000006,000020,0002,20251004,3.628,KG,20250925
0001000006,000030,0001,20250929,237.617,EA,20250925
0001000006,000040,0001,20251003,163.928,EA,20250925
0001000006,000050,0001,20251003,38.639,EA,20250925
0001000006,000060,0001,20250930,9.189,EA,20250925
0001000006,000070,0001,20250930,16.099,KG,20250925
0001000006,000070,0002,20251006,16.099,KG,20250925
0001000006,000080,0001,20250927,8.936,L,20250925
0001000006,000090,0001,20251005,46.548,EA,20250925
0001000007,000010,0001,20251003,11.534,KG,20250925
0001000007,000010,0002,20251001,11.534,KG,20250925
0001000007,000020,0001,20251006,1.059,EA,20250925
0001000007,000030,0001,20250930,26.951,EA,20250925
0001000007,000040,0001,20251002,74.75,EA,20250925
0001000007,000050,0001,20251002,8.2605,L,20250925
0001000007,000050,0002,20251007,8.2605,L,20250925
0001000007,000060,0001,20251008,50.646,EA,20250925
0001000007,000070,0001,20250927,39.59,EA,20250925
0001000008,000010,0001,20251003,13.648,KG,20250925
0001000008,000020,0001,20251002,2.988,EA,20250925
0001000008,000030,0001,20251009,102.055,EA,20250925
0001000008,000040,0001,20251002,42.334,EA,20250925
0001000009,000010,0001,20250928,13.486,KG,20250925
0001000009,000020,0001,20250926,22.404,EA,20250925
0001000009,000030,0001,20250930,28.602,EA,20250925
0001000009,000040,0001,20251003,3.646,EA,20250925
0001000010,000010,0001,20250927,21.364,L,20250925
0001000010,000020,0001,20251005,3.077,EA,20250925
0001000010,000030,0001,20251002,78.8535,EA,20250925
0001000010,000030,0002,20250926,78.8535,EA,20250925
0001000011,000010,0001,20251005,160.207,EA,20250925
0001000011,000020,0001,20250930,8.07,EA,20250925
0001000011,000030,0001,20250926,9.995,EA,20250925
0001000012,000010,0001,20251006,2.338,L,20250925
0001000012,000010,0002,20251006,2.338,L,20250925
0001000012,000020,0001,20251006,20.327,EA,20250925
0001000012,000030,0001,20251005,1.811,EA,20250925
0001000012,000040,0001,20251003,29.844,EA,20250925
0001000013,000010,0001,20250926,7.69,EA,20250925
0001000013,000010,0002,20251001,7.69,EA,20250925
0001000013,000020,0001,20250928,13.242,KG,20250925
0001000013,000030,0001,20251003,109.588,L,20250925
0001000013,000040,0001,20251007,13.034,EA,20250925
0001000013,000050,0001,20251003,329.937,EA,20250925
0001000013,000060,0001,20250930,15.558,EA,20250925
0001000013,000070,0001,20250926,5.694,EA,20250925
0001000013,000080,0001,20250928,5.3215,EA,20250925
0001000013,000080,0002,20251001,5.3215,EA,20250925
0001000014,000010,0001,20251004,116.625,L,20250925
0001000015,000010,0001,20251009,1.878,EA,20250925
0001000015,000020,0001,20251009,42.75,EA,20250925
0001000015,000030,0001,20251004,27.117,KG,20250925
0001000015,000040,0001,20250929,27.036,KG,20250925
0001000016,000010,0001,20251001,38.586,EA,20250925
0001000016,000020,0001,20251007,1.8745,EA,20250925
0001000016,000020,0002,20251004,1.8745,EA,20250925
0001000016,000030,0001,20251002,22.462,L,20250925
0001000016,000040,0001,20251004,30.191,EA,20250925
0001000016,000050,0001,20250927,8.251,KG,20250925
0001000016,000060,0001,20250928,115.318,EA,20250925
0001000017,000010,0001,20251006,21.916,EA,20250925
0001000017,000020,0001,20250928,4.875,L,20250925
0001000017,000030,0001,20251001,11.781,KG,20250925
0001000017,000040,0001,20251006,3.47,L,20250925
0001000017,000050,0001,20251007,10.837,KG,20250925
0001000017,000060,0001,20251005,7.799,EA,20250925
0001000017,000070,0001,20251001,20.29,KG,20250925
0001000018,000010,0001,20251003,156.291,EA,20250925
0001000018,000020,0001,20251007,31.138,EA,20250925
0001000018,000030,0001,20251009,11.003,EA,20250925
0001000018,000040,0001,20251008,31.162,EA,20250925
0001000018,000050,0001,20250928,88.334,EA,20250925
0001000018,000060,0001,20250930,71.116,EA,20250925
0001000018,000070,0001,20251008,7.468,EA,20250925
0001000018,000080,0001,20251008,82.256,EA,20250925
0001000018,000090,0001,20251006,7.97,KG,20250925
0001000019,000010,0001,20250930,115.069,L,20250925
0001000019,000020,0001,20251002,18.47,KG,20250925
0001000019,000030,0001,20250927,10.784,L,20250925
0001000019,000040,0001,20251009,1.899,KG,20250925
0001000019,000040,0002,20251006,1.899,KG,20250925
0001000019,000050,0001,20251003,98.967,EA,20250925
0001000019,000060,0001,20251002,65.239,EA,20250925
0001000019,000070,0001,20251003,15.304,L,20250925
0001000020,000010,0001,20251005,47.084,KG,20250925
0001000020,000020,0001,20251006,104.433,EA,20250925
0001000020,000030,0001,20250928,22.972,EA,20250925
0001000020,000040,0001,20251005,9.933,EA,20250925
0001000021,000010,0001,20251007,48.962,EA,20250925
0001000021,000020,0001,20251004,6.144,EA,20250925
0001000021,000030,0001,20251008,8.632,EA,20250925
0001000021,000040,0001,20251006,66.234,EA,20250925
0001000022,000010,0001,20251004,13.929,EA,20250925
0001000022,000020,0001,20250930,30.14,EA,20250925
0001000022,000030,0001,20250928,1.2555,EA,20250925
0001000022,000030,0002,20251007,1.2555,EA,20250925
0001000022,000040,0001,20251001,13.353,EA,20250925
0001000022,000050,0001,20251005,8.727,EA,20250925
0001000022,000060,0001,20251005,3.483,KG,20250925
0001000022,000070,0001,20251001,2.381,EA,20250925
0001000022,000080,0001,20251005,10.107,EA,20250925
0001000023,000010,0001,20251005,3.203,KG,20250925
0001000023,000020,0001,20251009,14.0,EA,20250925
0001000023,000030,0001,20251002,103.932,KG,20250925
0001000023,000040,0001,20250927,7.407,EA,20250925
