Id,Name,AccountNumber,Type,Industry,AnnualRevenue,NumberOfEmployees,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,Phone,Website,Rating,OwnerId,CreatedDate,LastModifiedDate,IsDeleted
00100010000,"Rodriguez, Figueroa and Sanchez",ACC-010000,Customer - Direct,Media,353712.52,280,181 Johnson Course,East William,AK,74064,USA,886.737.9402,www.moore-bernard.com,Hot,0050011,2022-03-25 17:21:13,2022-05-22 17:21:13,False
00100010001,Davis Inc,ACC-010001,Customer - Channel,Retail,76931473.65,688,9407 Teresa Lane Apt. 849,Barbaraland,AZ,87174,USA,441.731.6475,www.clark-adams.com,Hot,0050002,2025-09-03 17:21:13,2026-01-22 17:21:13,False
00100010002,"Reid, Ferguson and Sanchez",ACC-010002,Prospect,Energy,60900761.74,3220,4835 Jeremy Bypass Suite 641,New Nancy,MD,28370,USA,+1-876-772-4238x8496,www.osborn.net,Hot,0050017,2024-06-10 17:21:13,2024-10-03 17:21:13,False
00100010003,Davis-Williams,ACC-010003,Customer - Channel,Financial Services,4346707.43,138,26916 Carlson Mountain,Tashatown,TX,94967,USA,284-651-4627,www.gill.com,Warm,0050005,2025-01-12 17:21:13,2025-03-06 17:21:13,False
00100010004,"Romero, Gonzalez and Brooks",ACC-010004,Prospect,Retail,1817916.65,139,809 Burns Creek,Natashaport,IA,08093,USA,991.417.1822,www.rose-obrien.com,Cold,0050014,2022-01-08 17:21:13,2022-10-15 17:21:13,False
00100010005,"Campos, Vaughn and Marquez",ACC-010005,Partner,Transportation,15531569.76,16,578 Martinez Fork Apt. 509,New Jeffrey,CA,93279,USA,+1-403-910-5183x4738,www.mueller.com,Warm,0050008,2025-04-29 17:21:13,2026-02-26 17:21:13,False
00100010006,Davis Group,ACC-010006,Customer - Direct,Technology,16938332.8,12,6701 Richard Junction Apt. 333,Taylorburgh,KY,61138,USA,517.481.0801,www.tucker-lewis.biz,Warm,0050006,2023-06-13 17:21:13,2023-06-30 17:21:13,False
00100010007,Martin Inc,ACC-010007,Customer - Direct,Healthcare,5062022.33,865,7468 Moore Hill Apt. 098,Lake Leeton,OR,62994,USA,582.208.1219x13619,www.miller.com,Cold,0050008,2025-08-24 17:21:13,2025-10-11 17:21:13,False
00100010008,Harris-Moran,ACC-010008,Prospect,Transportation,5537048.09,3958,6247 Hickman Cliffs,South Christineshire,CT,10103,USA,+1-638-442-5135,www.bass-warner.org,Warm,0050013,2024-08-03 17:21:13,2024-12-01 17:21:13,False
00100010009,"Rice, Contreras and Spencer",ACC-010009,Customer - Direct,Technology,2996412.79,85,41182 Campbell Fords,Jamesview,NY,64533,USA,801-264-0052x427,www.jones.com,Warm,0050008,2022-12-25 17:21:13,2023-10-30 17:21:13,False
00100010010,"Johnson, Wood and Tran",ACC-010010,Customer - Direct,Financial Services,25699935.62,955,04505 Evelyn Shores Apt. 586,East Michelle,AS,23707,USA,(902)756-3421x60733,www.hoover-savage.com,Cold,0050005,2025-08-31 17:21:13,2026-06-15 17:21:13,False
00100010011,Keller Group,ACC-010011,Competitor,Transportation,544340.17,118,1458 Frazier Ville Suite 014,New Sydney,KS,05515,USA,896-555-6981,www.williams-graham.net,Warm,0050005,2024-09-12 17:21:13,2025-08-11 17:21:13,False
00100010012,"Mcdaniel, Bentley and Mclaughlin",ACC-010012,Prospect,Media,8168290.09,5,6159 Alvarado Crossing,Williamchester,MD,53244,USA,001-248-623-6629x946,www.clark-floyd.org,Warm,0050015,2021-11-18 17:21:13,2022-08-25 17:21:13,False
00100010013,"Morris, Ramos and Lowe",ACC-010013,Prospect,Technology,505081.11,712,214 Davis Terrace Apt. 433,North Brandon,NJ,80621,USA,001-517-469-3676x32016,www.holmes.com,Warm,0050009,2023-06-18 17:21:13,2023-10-09 17:21:13,False
00100010014,Anderson-Marshall,ACC-010014,Prospect,Financial Services,3890678.56,81,9868 Merritt Summit Suite 743,Katiehaven,NM,82650,USA,347.414.3455,www.hall.com,Warm,0050004,2023-04-19 17:21:13,2024-02-15 17:21:13,False
00100010015,"Lewis, Perry and Rivera",ACC-010015,Competitor,Telecommunications,18725751.05,14392,0366 Melissa Track Suite 705,Karenchester,ND,98479,USA,001-489-937-3467x0656,www.hooper.com,Warm,0050013,2024-04-03 17:21:13,2024-04-07 17:21:13,False
