Id,CaseNumber,AccountId,ContactId,Status,Priority,Type,Origin,Subject,Description,IsClosed,IsEscalated,ClosedDate,OwnerId,CreatedDate,LastModifiedDate,IsDeleted
50000010000,CS-100000,00100010000,00300010001,Closed,High,Feature Request,Phone,Ever outside value item discover property everyone thank.,"Wife full car. Her year notice though enjoy specific.
Sport real down write ask their help house. Program let health. Wife be authority arrive herself choice floor Mr.
Most article skill money. Food item sell or.",True,False,2023-12-18 17:21:14,0050035,2023-11-21 17:21:14,2023-11-26 17:21:14,False
50000010001,CS-100001,00100010000,00300010001,Working,High,Problem,Web,Forward large cup international hot.,"Loss industry long whose college radio sign body. Position determine challenge instead break employee century whom.
Strategy bed service strong dream store know. Son pattern past wonder. Everything better note article form high.",False,False,,0050026,2025-09-17 17:21:14,2025-10-17 17:21:14,False
50000010002,CS-100002,00100010000,00300010001,Working,Medium,Bug Report,Chat,For point song our put miss dinner.,"Site whole section contain deal analysis choice. Bad difference drive share.
Find rich such require quality. Pass fill family team certainly color song. Attorney attack bad key indeed my sure.
Expect such result about end. Family seat radio me produce teacher.
Industry off could that.",False,False,,0050032,2024-03-04 17:21:14,2024-03-16 17:21:14,False
50000010003,CS-100003,00100010000,00300010000,Closed,Medium,Configuration,Chat,Research wind several hard message discuss appear.,"Range off position level traditional my make. Ability sing member policy coach popular. Third sister yeah.
Child well nothing fall issue. About need list if. Guy clear rich way. Keep use answer morning color happen.
Skill though glass various.
Whatever beat be view kind mention admit.",True,False,2025-06-05 17:21:14,0050021,2025-05-18 17:21:14,2025-06-05 17:21:14,False
50000010004,CS-100004,00100010000,00300010000,Escalated,Medium,Feature Request,Chat,Including time poor test fine.,"Then person yard.
Coach where whether face. Make factor good plant probably section. Sit good each theory. Indicate north not whom final four business believe.
Expect research author black. Safe almost place company. Garden treatment that quite kid.",False,True,,0050024,2025-03-23 17:21:14,2025-04-14 17:21:14,False
50000010005,CS-100005,00100010001,00300010003,Closed,Low,Bug Report,Portal,Interview behavior beyond art community I business theory.,"Space rise common middle. Officer fall phone dream wife course tough issue. Majority treatment sit benefit throughout.
Summer democratic wrong. Article lead between mouth actually. Instead TV for step.
Next financial for front grow eat out. Argue into station management.",True,False,2024-08-18 17:21:14,0050033,2024-08-06 17:21:14,2024-08-26 17:21:14,False
50000010006,CS-100006,00100010001,00300010002,Closed,Medium,Problem,Email,Serve always live.,"Glass about security most whom hundred wish wall. Art production area show.
Agent short name. Front heavy blood however. Yet think admit source you.
Have anything economic employee treat image citizen. Example enough pull. Without indicate discover suggest three continue.",True,False,2023-12-22 17:21:14,0050029,2023-11-26 17:21:14,2023-12-05 17:21:14,False
50000010007,CS-100007,00100010001,00300010003,Closed,High,Bug Report,Web,Follow whom knowledge finally.,"Side strong all each. Tonight customer model history week wall growth. Century suffer which agree before.
Plan style expect east would discussion learn.
Suddenly coach simply his rather. Economy level trip human close sign while. Assume agreement think soldier task half peace.",True,False,2025-04-06 17:21:14,0050021,2025-03-26 17:21:14,2025-04-17 17:21:14,False
50000010008,CS-100008,00100010001,00300010004,Closed,High,Configuration,Portal,Step class also assume.,"Significant rest soon participant. Site agreement affect. Man recent hotel doctor write first nor.
Issue office bar protect. Bill main build school. Treatment watch feeling her I.
Customer near their get model activity item after. Because also expert their.",True,False,2024-06-14 17:21:14,0050033,2024-05-27 17:21:14,2024-06-22 17:21:14,False
50000010009,CS-100009,00100010001,00300010002,Working,Critical,Question,Chat,Three despite make moment.,"Receive together within wish step cold. Together step clearly education section behind large. City his without policy speak increase.
Beyond message offer push leader nor. Ball allow mean administration yes health worry.",False,False,,0050031,2025-01-22 17:21:14,2025-01-24 17:21:14,False
