Id,AccountId,Name,StageName,Probability,Amount,CloseDate,Type,LeadSource,NextStep,IsClosed,IsWon,ForecastCategory,ForecastCategoryName,CampaignId,HasOpportunityLineItem,OwnerId,CreatedDate,LastModifiedDate,IsDeleted
00600010000,00100010000,"Rodriguez, Figueroa and Sanchez - Q3 2025",Proposal/Price Quote,60,84468.55,2022-10-01,Existing Customer - Replacement,Purchased List,News include memory shoulder help hear kind.,False,False,Best Case,Best Case,,True,0050011,2022-08-23 17:21:13,2022-09-17 17:21:13,False
00600010001,00100010002,"Reid, Ferguson and Sanchez - Q4 2025",Value Proposition,40,6884.9,2025-01-04,Existing Customer - Upgrade,Campaign,Service customer off number maintain anyone.,False,False,Pipeline,Omitted,,True,0050017,2024-09-20 17:21:13,2024-10-18 17:21:13,False
00600010002,00100010003,Davis-Williams - Q3 2025,Qualification,10,204385.06,2025-10-08,New Business,Purchased List,Social together seek audience.,False,False,Pipeline,Omitted,70101004,True,0050005,2025-04-20 17:21:13,2025-05-18 17:21:13,False
00600010003,00100010003,Davis-Williams - Q3 2025,Proposal/Price Quote,60,5929.76,2026-04-10,New Business,Phone Inquiry,Common wonder your best black east entire.,False,False,Best Case,Best Case,70101005,True,0050005,2025-12-10 17:21:13,2026-01-15 17:21:13,False
00600010004,00100010003,Davis-Williams - Q1 2025,Closed Won,100,247478.84,2025-09-02,New Business,Campaign,,True,True,Closed,Closed,,True,0050005,2025-04-17 17:21:13,2025-04-27 17:21:13,False
00600010005,00100010007,Martin Inc - Q4 2024,Needs Analysis,20,366567.25,2026-10-04,New Business,Partner Referral,Start claim resource miss sound.,False,False,Pipeline,Omitted,,True,0050008,2026-07-01 17:21:13,2026-08-04 17:21:13,False
00600010006,00100010007,Martin Inc - Q4 2025,Qualification,10,48552.19,2026-06-16,New Business,Purchased List,Never kitchen film.,False,False,Pipeline,Omitted,,True,0050008,2026-04-06 17:21:13,2026-05-28 17:21:13,False
00600010007,00100010008,Harris-Moran - Q1 2024,Value Proposition,40,15363.69,2025-06-13,Existing Customer - Downgrade,Phone Inquiry,Seek different film process ready someone effort industry.,False,False,Pipeline,Omitted,,True,0050013,2025-04-23 17:21:13,2025-05-26 17:21:13,False
00600010008,00100010008,Harris-Moran - Q2 2024,Qualification,10,36333.5,2025-06-12,New Business,Partner Referral,Meet race century behind rate relationship.,False,False,Pipeline,Omitted,70101010,True,0050013,2025-04-07 17:21:13,2025-06-15 17:21:13,False
00600010009,00100010009,"Rice, Contreras and Spencer - Q2 2024",Closed Won,100,4519.55,2023-06-25,Existing Customer - Downgrade,Partner Referral,,True,True,Closed,Closed,70101008,True,0050008,2023-05-08 17:21:13,2023-07-28 17:21:13,False
00600010010,00100010010,"Johnson, Wood and Tran - Q2 2024",Proposal/Price Quote,60,4172.3,2026-05-04,Existing Customer - Upgrade,Web,Protect allow long debate eight.,False,False,Best Case,Best Case,70101004,True,0050005,2026-02-14 17:21:13,2026-04-03 17:21:13,False
00600010011,00100010012,"Mcdaniel, Bentley and Mclaughlin - Q3 2024",Negotiation/Review,80,169224.25,2023-03-11,Existing Customer - Replacement,Campaign,However huge or indeed own share already.,False,False,Commit,Commit,,True,0050015,2022-10-02 17:21:13,2022-12-19 17:21:13,False
00600010012,00100010012,"Mcdaniel, Bentley and Mclaughlin - Q4 2025",Proposal/Price Quote,60,266181.48,2022-07-26,New Business,Web,Strong market whether dinner college laugh.,False,False,Best Case,Best Case,,True,0050015,2022-03-11 17:21:13,2022-03-31 17:21:13,False
00600010013,00100010013,"Morris, Ramos and Lowe - Q2 2025",Proposal/Price Quote,60,19038.66,2024-05-15,Existing Customer - Upgrade,Purchased List,That candidate back high know involve.,False,False,Best Case,Best Case,70101013,True,0050009,2023-12-26 17:21:13,2024-02-13 17:21:13,False
