Id,OpportunityId,Product2Id,ProductCode,Name,Quantity,ListPrice,UnitPrice,Discount,TotalPrice,Description,ServiceDate,CreatedDate,LastModifiedDate,IsDeleted
00k00010000,00600010000,P004,TRN-PKG-010,Training Package - 10 Users,1,5000,5000.0,0.0,5000.0,Agreement race evidence which recognize conference. Leg million again run.,2022-10-01,2022-08-23 17:21:13,2022-09-17 17:21:13,False
00k00010001,00600010000,P003,SUP-ANN-001,Annual Support & Maintenance,2,10000,8962.0,10.38,17924.0,Subject dinner increase over candidate. Travel same difficult look later. Oil bill question.,2022-10-01,2022-08-23 17:21:13,2022-09-17 17:21:13,False
00k00010002,00600010000,P007,CON-SVC-DAY,Consulting Services - Daily Rate,5,2500,2257.25,9.71,11286.25,Leader appear standard partner. Space there they seven.,2022-10-01,2022-08-23 17:21:13,2022-09-17 17:21:13,False
00k00010003,00600010001,P001,SW-ENT-001,Enterprise Software License,10,50000,41185.0,17.63,411850.0,Personal office message girl weight. Bit fast and present hand.,2025-01-04,2024-09-20 17:21:13,2024-10-18 17:21:13,False
00k00010004,00600010001,P006,CLD-SUB-MTH,Cloud Subscription - Monthly,2,2000,1573.2,21.34,3146.4,"Floor image for each.
Nice company accept system.",2025-01-04,2024-09-20 17:21:13,2024-10-18 17:21:13,False
00k00010005,00600010001,P008,PS-MIG-001,Data Migration Services,2,30000,30000.0,0.0,60000.0,Future man oil campaign score house best. Two increase man fact suddenly carry.,2025-01-04,2024-09-20 17:21:13,2024-10-18 17:21:13,False
00k00010006,00600010002,P003,SUP-ANN-001,Annual Support & Maintenance,2,10000,7743.0,22.57,15486.0,Back old year challenge to dog. However professor easy image movement pass.,2025-10-08,2025-04-20 17:21:13,2025-05-18 17:21:13,False
00k00010007,00600010002,P001,SW-ENT-001,Enterprise Software License,100,50000,48595.0,2.81,4859500.0,Pay value fine white. Beautiful still treat case population shake major.,2025-10-08,2025-04-20 17:21:13,2025-05-18 17:21:13,False
00k00010008,00600010002,P008,PS-MIG-001,Data Migration Services,1,30000,30000.0,0.0,30000.0,American my information single. Fall his guess feel. Federal certainly college meeting.,2025-10-08,2025-04-20 17:21:13,2025-05-18 17:21:13,False
00k00010009,00600010003,P006,CLD-SUB-MTH,Cloud Subscription - Monthly,1,2000,1893.8,5.31,1893.8,Bag star PM majority avoid top father. Article they simple.,2026-04-10,2025-12-10 17:21:13,2026-01-15 17:21:13,False
