Id,QuoteNumber,OpportunityId,AccountId,Name,Status,ExpirationDate,Subtotal,Discount,TotalPrice,Tax,GrandTotal,ShippingHandling,Description,IsSyncing,OwnerId,CreatedDate,LastModifiedDate,IsDeleted
0Q000010000,QT-100000,00600010000,00100010000,"Quote for Rodriguez, Figueroa and Sanchez - Q3 2025",Rejected,2022-10-13,83848.18,10875.24,78810.78,5837.84,78810.78,26.41,"Around our floor agree player special. Big reveal ready interest participant live. Author coach similar project.
Father interview safe subject long figure car. So traditional our machine.",False,0050011,2022-09-13 17:21:13,2022-10-06 17:21:13,False
0Q000010001,QT-100001,00600010001,00100010002,"Quote for Reid, Ferguson and Sanchez - Q4 2025",In Review,2024-12-02,7419.39,394.02,7587.4,562.03,7587.4,93.45,Smile indeed seek leader life likely loss color. Professional clearly now. Expert send nor into standard activity probably.,False,0050017,2024-11-02 17:21:13,2024-11-04 17:21:13,False
0Q000010002,QT-100002,00600010003,00100010003,Quote for Davis-Williams - Q3 2025,Approved,2026-02-08,5751.43,564.75,5601.61,414.93,5601.61,191.91,"Somebody wish sport item college good. Partner forget both can understand time move.
Begin candidate outside black camera entire research. Become wind watch bring conference car ever.",False,0050005,2026-01-09 17:21:13,2026-01-30 17:21:13,False
0Q000010003,QT-100003,00600010003,00100010003,Quote for Davis-Williams - Q3 2025,Draft,2026-02-27,6509.88,233.04,6778.99,502.15,6778.99,122.18,"Far course best room us nice owner. Rule responsibility age. Carry edge next nation adult.
Member site new ahead natural either. Material too win outside science someone race.",False,0050005,2026-01-28 17:21:13,2026-02-11 17:21:13,False
0Q000010004,QT-100004,00600010004,00100010003,Quote for Davis-Williams - Q1 2025,Accepted,2025-07-14,230549.58,17359.39,230245.41,17055.22,230245.41,469.87,Range a great general board card first subject. Which actually kind season soldier agency focus start. Style matter nice.,False,0050005,2025-06-14 17:21:13,2025-07-09 17:21:13,False
0Q000010005,QT-100005,00600010005,00100010007,Quote for Martin Inc - Q4 2024,Rejected,2026-08-18,356412.2,43470.03,337977.54,25035.37,337977.54,236.68,Mother including watch dark minute it. Mind audience method business past ability word. Morning land two eight.,False,0050008,2026-07-19 17:21:13,2026-08-06 17:21:13,False
0Q000010006,QT-100006,00600010007,00100010008,Quote for Harris-Moran - Q1 2024,Presented to Customer,2025-07-01,15698.45,2044.36,14746.42,1092.33,14746.42,262.28,"Poor different physical character. With course fly though weight star trial. Power able thus action while outside.
Movie particularly market computer line determine.",False,0050013,2025-06-01 17:21:13,2025-06-23 17:21:13,False
0Q000010007,QT-100007,00600010009,00100010009,"Quote for Rice, Contreras and Spencer - Q2 2024",Accepted,2023-08-06,4959.99,487.82,4829.94,357.77,4829.94,74.34,"Different be should.
Store involve especially region compare. Congress none price staff so identify hundred.",False,0050008,2023-07-07 17:21:13,2023-07-22 17:21:13,False
0Q000010008,QT-100008,00600010010,00100010010,"Quote for Johnson, Wood and Tran - Q2 2024",Approved,2026-03-31,4441.32,184.59,4597.27,340.54,4597.27,471.16,"Head day door assume style strong want. Help art brother analysis exactly man age public. Use past authority laugh bag.
Our friend him sometimes skin vote yet politics.",False,0050005,2026-03-01 17:21:13,2026-03-15 17:21:13,False
0Q000010009,QT-100009,00600010010,00100010010,"Quote for Johnson, Wood and Tran - Q2 2024",In Review,2026-04-24,4587.25,481.78,4433.91,328.44,4433.91,485.64,"Right treatment drug town bring how probably.
Begin wind my have do. Coach describe suggest much pressure. Natural away particular agency.",False,0050005,2026-03-25 17:21:13,2026-04-01 17:21:13,False
0Q000010010,QT-100010,00600010011,00100010012,"Quote for Mcdaniel, Bentley and Mclaughlin - Q3 2024",Rejected,2022-11-26,156409.85,352.13,168542.34,12484.62,168542.34,43.2,"Receive public finally table. Capital southern less improve sit.
Left situation blue stuff ago. Explain economic success newspaper how far yard.",False,0050015,2022-10-27 17:21:13,2022-11-23 17:21:13,False
0Q000010011,QT-100011,00600010011,00100010012,"Quote for Mcdaniel, Bentley and Mclaughlin - Q3 2024",Approved,2022-11-18,165910.16,4575.29,174241.66,12906.79,174241.66,21.73,"Girl boy late less difference notice. Believe anyone drive garden alone what.
List nearly action probably there marriage have voice. Claim though impact sea international protect.",False,0050015,2022-10-19 17:21:13,2022-11-13 17:21:13,False
0Q000010012,QT-100012,00600010012,00100010012,"Quote for Mcdaniel, Bentley and Mclaughlin - Q4 2025",In Review,2022-04-28,291658.16,4525.61,310103.15,22970.6,310103.15,181.78,"Quality bad huge response live story name. Piece share son possible identify attack Mr.
Though page attorney size toward serious fill. Policy effort stay enjoy.",False,0050015,2022-03-29 17:21:13,2022-04-11 17:21:13,False
0Q000010013,QT-100013,00600010013,00100010013,"Quote for Morris, Ramos and Lowe - Q2 2025",In Review,2024-02-18,19051.38,355.72,20191.31,1495.65,20191.31,0.82,"Focus ready be stop. To reach several. Establish music no good hear various population minute.
Allow appear arm light. Test relate within tell more hear enter energy.",False,0050009,2024-01-19 17:21:13,2024-02-07 17:21:13,False
0Q000010014,QT-100014,00600010014,00100010014,Quote for Anderson-Marshall - Q3 2025,Presented to Customer,2023-08-27,134383.48,4606.03,140159.65,10382.2,140159.65,197.28,"Picture century meeting save right goal anything. Mention give cover measure compare career wall.
Onto office black like. Population around through join one effort.",False,0050004,2023-07-28 17:21:13,2023-08-26 17:21:13,False
0Q000010015,QT-100015,00600010015,00100010014,Quote for Anderson-Marshall - Q3 2025,Draft,2023-11-17,45207.93,6497.71,41807.04,3096.82,41807.04,339.27,"Onto leg determine fear upon power. Great tax trip become watch.
Voice not six imagine design health follow. Possible among research although civil war the. South experience power idea area.",False,0050004,2023-10-18 17:21:13,2023-11-03 17:21:13,False
0Q000010016,QT-100016,00600010017,00100010015,"Quote for Lewis, Perry and Rivera - Q4 2024",In Review,2024-07-31,103806.09,6090.51,105532.83,7817.25,105532.83,102.62,"Southern behind seek me stop senior. Bag forward certainly myself despite listen purpose. Reveal not then mind.
Figure available population. Amount stay new.",False,0050013,2024-07-01 17:21:13,2024-07-27 17:21:13,False
0Q000010017,QT-100017,00600010020,00100010017,Quote for Martinez Ltd - Q2 2025,Rejected,2022-08-03,39975.32,4622.59,38180.95,2828.22,38180.95,270.36,"Never upon top.
Per west impact interest pull. Front government so life memory note election tough.",False,0050013,2022-07-04 17:21:13,2022-07-23 17:21:13,False
0Q000010018,QT-100018,00600010020,00100010017,Quote for Martinez Ltd - Q2 2025,In Review,2022-07-08,45473.7,1432.18,47564.84,3523.32,47564.84,345.31,"Area tonight serious learn reveal station feel. Explain in sport apply walk area role.
Discuss economic civil garden admit. Least shoulder arrive study.",False,0050013,2022-06-08 17:21:13,2022-07-03 17:21:13,False
0Q000010019,QT-100019,00600010021,00100010018,Quote for Patel-Stanley - Q1 2024,Accepted,2024-09-22,15928.54,1011.77,16110.11,1193.34,16110.11,143.31,Difference mouth big do sing know food. Pass cover describe explain executive sea risk. Market force morning industry treat author.,False,0050001,2024-08-23 17:21:13,2024-09-19 17:21:13,False
0Q000010020,QT-100020,00600010022,00100010019,Quote for Freeman LLC - Q4 2024,Accepted,2025-05-25,16081.27,1996.45,15211.61,1126.79,15211.61,156.44,Board some morning later lot five politics money. Knowledge politics nation myself four security. Able write old likely town determine cultural.,False,0050009,2025-04-25 17:21:13,2025-04-28 17:21:13,False
0Q000010021,QT-100021,00600010022,00100010019,Quote for Freeman LLC - Q4 2024,Accepted,2025-05-29,14825.12,384.28,15596.11,1155.27,15596.11,223.37,Save official represent have use natural else. Friend property read start shoulder third. Research argue let prevent. May else tend country not special he wish.,False,0050009,2025-04-29 17:21:13,2025-05-18 17:21:13,False
0Q000010022,QT-100022,00600010024,00100010020,Quote for Hall-Griffith - Q4 2025,Approved,2022-07-07,7277.98,805.12,6990.69,517.83,6990.69,101.4,"Congress eight common say somebody Congress. Economy health economic finally.
Worry bad public per. Build attack ball nothing federal.
Case want per writer thus plan.",False,0050003,2022-06-07 17:21:13,2022-07-07 17:21:13,False
0Q000010023,QT-100023,00600010024,00100010020,Quote for Hall-Griffith - Q4 2025,Draft,2022-06-13,6438.41,695.05,6202.83,459.47,6202.83,227.9,While would include television idea perform. Similar enter same person enter trial air market.,False,0050003,2022-05-14 17:21:13,2022-05-30 17:21:13,False
0Q000010024,QT-100024,00600010025,00100010020,Quote for Hall-Griffith - Q3 2024,Approved,2022-03-30,425394.2,61797.12,392684.85,29087.77,392684.85,200.35,Note national real need old. Involve office ability scientist. Again book blue. Wife quickly often society deep view.,False,0050003,2022-02-28 17:21:13,2022-03-18 17:21:13,False
0Q000010025,QT-100025,00600010025,00100010020,Quote for Hall-Griffith - Q3 2024,Presented to Customer,2022-04-01,420160.8,22647.5,429314.36,31801.06,429314.36,297.19,"Continue scientist community site win professional pressure early. Mrs international bill view.
Wide ball find else term quickly. Personal activity picture always.",False,0050003,2022-03-02 17:21:13,2022-03-16 17:21:13,False
0Q000010026,QT-100026,00600010026,00100010020,Quote for Hall-Griffith - Q4 2025,Accepted,2022-08-18,657051.99,87030.79,615622.9,45601.7,615622.9,379.3,Special action allow quickly mission break. Fund simple approach authority trip capital.,False,0050003,2022-07-19 17:21:13,2022-07-30 17:21:13,False
