KUNNR,BUKRS,AKONT,ZTERM,FDGRV
0000100000,1000,140000,Z030,
0000100001,2000,140000,Z030,
0000100002,2000,140000,Z030,
0000100003,1000,140000,Z030,
0000100004,1000,140000,Z030,
0000100005,1000,140000,Z030,
0000100006,3000,140000,Z030,
0000100007,3000,140000,Z030,
0000100008,1000,140000,Z030,
0000100009,1000,140000,Z030,
0000100010,1000,140000,Z030,
0000100011,1000,140000,Z030,
0000100012,1000,140000,Z030,
0000100013,1000,140000,Z030,
0000100014,1000,140000,Z030,
0000100015,1000,140000,Z030,
0000100016,2000,140000,Z030,
0000100017,1000,140000,Z030,
0000100018,2000,140000,Z030,
0000100019,2000,140000,Z030,
0000100020,2000,140000,Z030,
0000100021,2000,140000,Z030,
0000100022,2000,140000,Z030,
0000100023,1000,140000,Z030,
0000100024,1000,140000,Z030,
0000100025,1000,140000,Z030,
0000100026,1000,140000,Z030,
0000100027,2000,140000,Z030,
0000100028,1000,140000,Z030,
0000100029,1000,140000,Z030,
0000100030,1000,140000,Z030,
0000100031,2000,140000,Z030,
0000100032,1000,140000,Z030,
0000100033,1000,140000,Z030,
0000100034,1000,140000,Z030,
0000100035,1000,140000,Z030,
0000100036,1000,140000,Z030,
0000100037,3000,140000,Z030,
0000100038,1000,140000,Z030,
0000100039,2000,140000,Z030,
0000100040,3000,140000,Z030,
0000100041,1000,140000,Z030,
0000100042,1000,140000,Z030,
0000100043,2000,140000,Z030,
0000100044,1000,140000,Z030,
0000100045,3000,140000,Z030,
0000100046,1000,140000,Z030,
0000100047,1000,140000,Z030,
0000100048,1000,140000,Z030,
0000100049,3000,140000,Z030,
0000100050,2000,140000,Z030,
0000100051,2000,140000,Z030,
0000100052,3000,140000,Z030,
0000100053,3000,140000,Z030,
0000100054,1000,140000,Z030,
0000100055,2000,140000,Z030,
0000100056,2000,140000,Z030,
0000100057,1000,140000,Z030,
0000100058,1000,140000,Z030,
0000100059,3000,140000,Z030,
0000100060,1000,140000,Z030,
0000100061,1000,140000,Z030,
0000100062,1000,140000,Z030,
0000100063,1000,140000,Z030,
0000100064,2000,140000,Z030,
0000100065,1000,140000,Z030,
0000100066,1000,140000,Z030,
0000100067,1000,140000,Z030,
0000100068,1000,140000,Z030,
0000100069,2000,140000,Z030,
0000100070,3000,140000,Z030,
0000100071,1000,140000,Z030,
0000100072,2000,140000,Z030,
0000100073,3000,140000,Z030,
0000100074,2000,140000,Z030,
0000100075,1000,140000,Z030,
0000100076,3000,140000,Z030,
0000100077,2000,140000,Z030,
0000100078,1000,140000,Z030,
0000100079,1000,140000,Z030,
0000100080,2000,140000,Z030,
0000100081,2000,140000,Z030,
0000100082,1000,140000,Z030,
0000100083,2000,140000,Z030,
0000100084,2000,140000,Z030,
0000100085,1000,140000,Z030,
0000100086,1000,140000,Z030,
0000100087,1000,140000,Z030,
0000100088,1000,140000,Z030,
0000100089,1000,140000,Z030,
0000100090,1000,140000,Z030,
0000100091,1000,140000,Z030,
0000100092,1000,140000,Z030,
0000100093,1000,140000,Z030,
0000100094,2000,140000,Z030,
0000100095,2000,140000,Z030,
0000100096,2000,140000,Z030,
0000100097,1000,140000,Z030,
0000100098,2000,140000,Z030,
0000100099,1000,140000,Z030,
0000100100,1000,140000,Z030,
0000100101,1000,140000,Z030,
0000100102,3000,140000,Z030,
0000100103,1000,140000,Z030,
0000100104,1000,140000,Z030,
0000100105,2000,140000,Z030,
0000100106,1000,140000,Z030,
0000100107,1000,140000,Z030,
0000100108,3000,140000,Z030,
0000100109,2000,140000,Z030,
0000100110,2000,140000,Z030,
0000100111,1000,140000,Z030,
0000100112,1000,140000,Z030,
0000100113,2000,140000,Z030,
0000100114,1000,140000,Z030,
0000100115,1000,140000,Z030,
0000100116,1000,140000,Z030,
0000100117,1000,140000,Z030,
0000100118,1000,140000,Z030,
0000100119,2000,140000,Z030,
0000100120,2000,140000,Z030,
0000100121,1000,140000,Z030,
0000100122,2000,140000,Z030,
0000100123,2000,140000,Z030,
0000100124,1000,140000,Z030,
0000100125,1000,140000,Z030,
0000100126,2000,140000,Z030,
