KUNNR,VKORG,VTWEG,SPART,KDGRP,WAERS,KALKS,VSBED,LPRIO
0000100000,2000,20,00,03,USD,1,01,02
0000100001,1000,20,02,01,USD,1,01,01
0000100002,3000,10,02,01,USD,1,02,01
0000100003,2000,30,01,04,USD,1,01,01
0000100003,1000,20,00,04,USD,1,01,01
0000100004,2000,10,02,01,USD,1,01,01
0000100005,3000,20,02,04,USD,1,01,02
0000100006,2000,30,00,03,USD,1,01,02
0000100007,2000,20,00,01,USD,1,01,02
0000100008,1000,20,01,03,USD,1,02,01
0000100008,1000,20,00,03,USD,1,01,02
0000100009,1000,10,00,01,USD,1,01,02
0000100010,2000,10,01,01,USD,1,01,01
0000100011,1000,10,01,02,USD,1,01,02
0000100012,1000,10,00,01,USD,1,01,01
0000100013,2000,10,02,02,USD,1,02,02
0000100014,1000,20,00,04,USD,1,01,01
0000100014,1000,20,00,04,USD,1,01,01
0000100015,1000,20,00,03,USD,1,01,01
0000100016,1000,30,00,01,USD,1,02,02
0000100017,1000,10,01,02,USD,1,01,01
0000100018,1000,30,00,01,USD,1,02,02
0000100019,1000,20,00,04,USD,1,02,02
0000100020,1000,20,02,03,USD,1,01,01
0000100021,1000,30,02,04,USD,1,01,02
0000100022,2000,10,00,02,USD,1,01,02
0000100023,3000,20,00,03,USD,1,02,02
0000100023,1000,10,00,02,USD,1,01,01
0000100024,2000,30,00,04,USD,1,01,01
0000100024,1000,10,00,01,USD,1,02,01
0000100025,1000,10,00,02,USD,1,01,01
0000100026,1000,30,00,03,USD,1,01,01
0000100026,1000,20,00,03,USD,1,02,01
0000100027,1000,20,01,04,USD,1,02,01
0000100028,2000,20,00,02,USD,1,02,01
0000100029,2000,20,00,01,USD,1,02,02
0000100030,1000,10,00,02,USD,1,02,02
0000100031,2000,10,00,02,USD,1,01,01
0000100032,1000,10,01,01,USD,1,01,01
0000100033,1000,30,00,01,USD,1,01,02
0000100034,1000,30,00,04,USD,1,02,02
0000100035,2000,10,02,02,USD,1,02,02
0000100035,1000,10,00,01,USD,1,02,01
0000100036,1000,20,00,04,USD,1,02,02
0000100037,1000,20,00,01,USD,1,01,01
0000100038,2000,30,01,03,USD,1,01,01
0000100039,1000,20,00,04,USD,1,01,02
0000100039,1000,10,01,02,USD,1,02,02
0000100040,1000,30,01,03,USD,1,01,02
0000100040,2000,30,02,01,USD,1,02,01
0000100041,2000,10,00,02,USD,1,02,01
0000100042,3000,10,01,01,USD,1,02,02
0000100042,2000,10,02,02,USD,1,02,01
0000100042,1000,10,01,02,USD,1,01,02
0000100043,2000,20,02,01,USD,1,01,02
0000100044,2000,30,00,04,USD,1,01,02
0000100045,2000,10,02,04,USD,1,02,01
0000100046,2000,10,01,04,USD,1,02,02
0000100046,2000,10,02,04,USD,1,01,01
0000100046,1000,10,00,04,USD,1,01,01
0000100047,2000,20,01,04,USD,1,02,01
0000100048,2000,30,00,02,USD,1,01,02
0000100049,1000,10,02,01,USD,1,01,01
0000100049,1000,10,01,04,USD,1,01,02
0000100049,1000,10,01,02,USD,1,01,01
0000100050,1000,30,00,03,USD,1,02,02
0000100051,2000,10,00,01,USD,1,02,02
0000100052,3000,20,00,03,USD,1,02,01
0000100053,2000,10,00,02,USD,1,01,02
0000100054,1000,20,00,03,USD,1,01,02
0000100054,1000,20,01,03,USD,1,01,01
0000100055,1000,10,02,04,USD,1,02,01
0000100056,1000,10,02,03,USD,1,02,01
0000100056,2000,20,00,04,USD,1,01,01
0000100057,2000,10,02,03,USD,1,02,01
0000100058,1000,20,00,03,USD,1,01,01
0000100059,2000,10,02,01,USD,1,02,01
0000100060,1000,20,00,03,USD,1,01,02
0000100060,2000,10,01,03,USD,1,01,01
0000100061,1000,10,00,02,USD,1,01,01
0000100062,2000,30,01,04,USD,1,02,02
0000100063,3000,10,00,02,USD,1,01,01
0000100064,1000,10,01,04,USD,1,01,02
0000100064,2000,10,01,02,USD,1,02,02
0000100065,1000,10,00,01,USD,1,01,02
0000100066,1000,30,00,02,USD,1,02,01
0000100067,1000,30,00,02,USD,1,01,02
0000100068,2000,10,02,01,USD,1,01,01
0000100068,2000,30,01,01,USD,1,02,01
0000100069,1000,10,01,02,USD,1,02,01
0000100069,1000,20,01,03,USD,1,01,01
0000100070,1000,10,00,02,USD,1,02,02
0000100071,2000,10,00,03,USD,1,01,01
0000100071,2000,10,01,02,USD,1,01,01
0000100072,1000,10,00,03,USD,1,01,01
0000100072,1000,10,01,02,USD,1,02,01
0000100073,2000,10,00,01,USD,1,02,02
0000100073,1000,10,01,04,USD,1,01,01
0000100074,1000,10,00,02,USD,1,01,01
0000100075,2000,10,02,01,USD,1,02,01
0000100075,2000,20,01,02,USD,1,02,01
0000100076,2000,10,00,04,USD,1,02,02
0000100076,1000,20,01,02,USD,1,02,02
0000100076,2000,20,00,03,USD,1,01,01
0000100077,2000,10,00,04,USD,1,02,02
0000100078,2000,30,00,04,USD,1,02,01
0000100079,2000,30,02,01,USD,1,02,02
0000100079,1000,10,02,04,USD,1,02,02
0000100079,1000,10,00,01,USD,1,02,02
0000100080,2000,10,01,04,USD,1,01,02
0000100081,2000,20,01,02,USD,1,01,02
0000100082,2000,30,02,01,USD,1,01,02
0000100083,1000,10,01,03,USD,1,02,01
0000100084,2000,10,00,01,USD,1,01,02
0000100085,1000,10,02,02,USD,1,02,01
0000100085,1000,20,01,02,USD,1,01,01
0000100086,1000,20,01,02,USD,1,02,01
0000100087,3000,20,00,03,USD,1,02,02
0000100087,1000,10,02,02,USD,1,01,01
0000100087,2000,10,01,02,USD,1,01,01
0000100088,1000,10,00,01,USD,1,01,01
0000100088,1000,30,00,04,USD,1,02,01
0000100089,2000,10,00,01,USD,1,02,02
0000100089,1000,20,01,01,USD,1,02,02
0000100090,1000,10,00,04,USD,1,01,01
0000100091,1000,10,02,04,USD,1,01,01
0000100092,1000,10,00,02,USD,1,01,02
0000100093,1000,10,01,03,USD,1,01,02
0000100093,2000,20,00,01,USD,1,01,01
0000100094,3000,10,00,02,USD,1,01,02
0000100095,1000,10,01,04,USD,1,01,02
0000100095,1000,10,00,04,USD,1,01,02
0000100096,2000,20,00,03,USD,1,02,01
0000100097,1000,20,00,01,USD,1,01,01
0000100098,1000,10,00,03,USD,1,02,01
0000100099,1000,10,02,04,USD,1,01,01
0000100099,1000,30,00,04,USD,1,02,01
0000100099,2000,10,02,03,USD,1,02,02
0000100100,2000,10,02,01,USD,1,01,01
0000100101,1000,10,00,02,USD,1,02,02
0000100101,3000,10,01,03,USD,1,01,02
0000100102,2000,30,00,02,USD,1,02,02
0000100103,2000,10,01,01,USD,1,01,02
0000100103,1000,10,00,04,USD,1,02,01
0000100103,1000,10,02,03,USD,1,02,01
0000100104,1000,30,01,01,USD,1,02,02
0000100105,1000,10,00,03,USD,1,02,02
0000100106,1000,10,01,02,USD,1,01,01
0000100106,2000,30,01,02,USD,1,02,02
0000100107,3000,20,00,02,USD,1,02,01
0000100108,2000,10,00,04,USD,1,02,02
0000100109,2000,20,00,02,USD,1,01,01
0000100110,1000,10,02,03,USD,1,01,01
0000100111,2000,30,00,03,USD,1,02,01
0000100112,1000,30,02,03,USD,1,02,02
0000100113,1000,20,02,01,USD,1,02,01
0000100113,2000,30,00,03,USD,1,02,02
0000100114,2000,30,00,04,USD,1,01,02
0000100115,1000,10,00,01,USD,1,02,02
0000100116,1000,20,02,03,USD,1,01,01
0000100117,3000,30,01,01,USD,1,01,01
0000100118,1000,10,00,03,USD,1,02,01
0000100119,1000,10,01,03,USD,1,01,02
0000100120,1000,10,00,01,USD,1,02,02
0000100121,1000,30,01,04,USD,1,01,02
0000100122,3000,20,00,04,USD,1,02,01
0000100123,1000,20,01,02,USD,1,02,02
0000100124,2000,10,01,04,USD,1,01,01
0000100125,1000,10,01,01,USD,1,01,01
0000100126,1000,10,00,03,USD,1,02,02
0000100127,1000,10,00,02,USD,1,01,02
0000100127,1000,10,00,02,USD,1,02,02
0000100128,1000,10,00,01,USD,1,02,02
0000100129,1000,30,00,01,USD,1,02,02
0000100130,2000,10,00,03,USD,1,02,01
0000100131,2000,10,00,04,USD,1,02,01
0000100132,2000,10,02,03,USD,1,01,01
0000100133,1000,10,00,01,USD,1,01,01
0000100134,1000,10,00,03,USD,1,02,02
0000100135,1000,10,00,02,USD,1,02,02
0000100136,2000,10,01,03,USD,1,01,01
0000100137,1000,10,02,02,USD,1,02,02
0000100138,1000,10,01,03,USD,1,02,02
0000100139,1000,10,01,01,USD,1,02,02
0000100140,2000,30,00,04,USD,1,02,01
0000100141,3000,10,00,02,USD,1,02,02
0000100142,2000,30,02,01,USD,1,01,01
0000100143,1000,10,01,01,USD,1,02,02
0000100144,1000,30,01,02,USD,1,02,02
0000100145,1000,30,01,04,USD,1,01,01
