MATNR,MTART,MATKL,MEINS,MTPOS_MARA,PRDHA,ERNAM,ERSDA,LAEDA
000000000000000001,FERT,ELEC,EA,NORM,000000000000000004,SYSUSER,20241211,20250824
000000000000000002,FERT,ELEC,EA,NORM,000000000000000008,SYSUSER,20250429,20251008
000000000000000003,FERT,ELEC,KG,NORM,000000000000000016,SYSUSER,20231118,20250926
000000000000000004,ROH,TOOL,KG,NORM,000000000000000019,SYSUSER,20240202,20250729
000000000000000005,FERT,MACH,EA,NORM,000000000000000013,SYSUSER,20240418,20251023
000000000000000006,FERT,ELEC,EA,NORM,000000000000000011,SYSUSER,20250709,20250727
000000000000000007,FERT,ELEC,EA,NORM,000000000000000002,SYSUSER,20240731,20251009
000000000000000008,FERT,MACH,EA,NORM,000000000000000004,SYSUSER,20230218,20250831
000000000000000009,FERT,ELEC,EA,NORM,000000000000000006,SYSUSER,20230807,20251008
000000000000000010,ROH,TOOL,EA,NORM,000000000000000015,SYSUSER,20240315,20251015
000000000000000011,HAWA,PART,EA,NORM,000000000000000018,SYSUSER,20241125,20250905
000000000000000012,HAWA,CONS,EA,NORM,000000000000000013,SYSUSER,20250417,20250723
000000000000000013,HAWA,MACH,EA,NORM,000000000000000010,SYSUSER,20230414,20251011
000000000000000014,HAWA,PART,EA,NORM,000000000000000018,SYSUSER,20250403,20250914
000000000000000015,FERT,MACH,EA,NORM,000000000000000013,SYSUSER,20240706,20250916
000000000000000016,HAWA,TOOL,EA,NORM,000000000000000001,SYSUSER,20250227,20250906
000000000000000017,FERT,TOOL,EA,NORM,000000000000000017,SYSUSER,20230517,20250720
000000000000000018,HAWA,TOOL,L,NORM,000000000000000011,SYSUSER,20230203,20251007
000000000000000019,FERT,TOOL,L,NORM,000000000000000017,SYSUSER,20230930,20250730
000000000000000020,FERT,ELEC,L,NORM,000000000000000019,SYSUSER,20250221,20251016
000000000000000021,FERT,MACH,L,NORM,000000000000000012,SYSUSER,20240121,20250813
000000000000000022,FERT,PART,KG,NORM,000000000000000007,SYSUSER,20250709,20250807
000000000000000023,HAWA,ELEC,EA,NORM,000000000000000017,SYSUSER,20230921,20251003
000000000000000024,FERT,MACH,KG,NORM,000000000000000017,SYSUSER,20240423,20250910
000000000000000025,FERT,MACH,EA,NORM,000000000000000020,SYSUSER,20230709,20250927
000000000000000026,FERT,PART,EA,NORM,000000000000000017,SYSUSER,20231013,20250721
