VBELN,FKART,FKDAT,ERDAT,ERZET,ERNAM,KUNAG,KUNRG,VKORG,NETWR,WAERK,FKSTO,VBUND,RFBSK
9000000001,F2,20251005,20251005,174100,BILLUSER,0000102815,0000102815,1000,0,USD,,,A
9000000002,F2,20251005,20251005,100000,BILLUSER,0000104134,0000104134,2000,0,EUR,,,A
9000000003,F2,20251101,20251101,102500,BILLUSER,0000102781,0000102781,2000,0,EUR,,,A
9000000004,F2,20251004,20251004,092400,BILLUSER,0000101635,0000101635,3000,0,EUR,,,B
9000000005,F2,20251025,20251025,155800,BILLUSER,0000102057,0000102057,1000,0,USD,,,A
9000000006,F2,20251021,20251021,175700,BILLUSER,0000102768,0000102768,1000,0,USD,,,A
9000000007,F2,20251020,20251020,133100,BILLUSER,0000104254,0000104254,1000,0,USD,,,A
9000000008,F2,20251026,20251026,124700,BILLUSER,0000101567,0000101567,2000,0,EUR,,,B
9000000009,F2,20251008,20251008,123800,BILLUSER,0000101713,0000101713,1000,0,USD,,,A
9000000010,F2,20251011,20251011,084600,BILLUSER,0000104940,0000104940,3000,0,EUR,,,C
9000000011,F2,20251005,20251005,140200,BILLUSER,0000102692,0000102692,1000,0,USD,,,B
9000000012,F2,20251012,20251012,112100,BILLUSER,0000103782,0000103782,2000,0,EUR,,,B
9000000013,F2,20251013,20251013,111400,BILLUSER,0000104537,0000104537,2000,0,EUR,,,A
9000000014,F2,20251021,20251021,151900,BILLUSER,0000102707,0000102707,1000,0,USD,,,A
9000000015,F2,20251018,20251018,085400,BILLUSER,0000102980,0000102980,1000,0,USD,,,B
9000000016,F2,20251014,20251014,170000,BILLUSER,0000100673,0000100673,1000,0,USD,,,A
9000000017,F2,20251004,20251004,154100,BILLUSER,0000103255,0000103255,2000,0,EUR,,,A
9000000018,F2,20251005,20251005,161900,BILLUSER,0000100664,0000100664,3000,0,EUR,,,A
9000000019,F2,20251029,20251029,093900,BILLUSER,0000102312,0000102312,2000,0,EUR,,,A
9000000020,F2,20251002,20251002,143700,BILLUSER,0000100570,0000100570,1000,0,USD,,,B
9000000021,F2,20251025,20251025,100600,BILLUSER,0000101489,0000101489,1000,0,USD,,,C
9000000022,F2,20251011,20251011,094300,BILLUSER,0000104520,0000104520,2000,0,EUR,,,A
9000000023,F2,20251003,20251003,084700,BILLUSER,0000103943,0000103943,1000,0,USD,,,B
