VBELN,POSNR,MATNR,LFIMG,VRKME,LGMNG,MEINS,WERKS,LGORT,VGBEL,VGPOS,ERDAT
8000000001,000010,000000000000000660,1.759,EA,1.759,EA,3000,0001,0001010661,000030,20251011
8000000001,000020,000000000000001185,4.492,EA,4.492,EA,2000,0001,0001008952,000010,20251011
8000000001,000030,000000000000000467,8.446,EA,8.446,EA,1000,0001,0001001911,000060,20251011
8000000001,000040,000000000000001062,11.358,EA,11.358,EA,2000,0001,0001007182,000050,20251011
8000000001,000050,000000000000001321,6.369,EA,6.369,EA,2000,0001,0001011893,000030,20251011
8000000002,000010,000000000000001095,41.546,L,41.546,L,3000,0001,0001012497,000030,20251001
8000000002,000020,000000000000001660,1.049,KG,1.049,KG,2000,0001,0001010755,000040,20251001
8000000002,000030,000000000000001762,11.563,EA,11.563,EA,1000,0001,0001004719,000040,20251001
8000000002,000040,000000000000001869,49.529,KG,49.529,KG,2000,0001,0001003092,000030,20251001
8000000002,000050,000000000000001977,19.485,EA,19.485,EA,3000,0001,0001008802,000040,20251001
8000000003,000010,000000000000001431,46.907,EA,46.907,EA,2000,0001,0001004036,000010,20251001
8000000003,000020,000000000000001388,13.869,EA,13.869,EA,2000,0001,0001013384,000010,20251001
8000000003,000030,000000000000001496,16.888,L,16.888,L,3000,0001,0001000966,000020,20251001
8000000003,000040,000000000000000833,2.447,EA,2.447,EA,3000,0001,0001014284,000040,20251001
8000000003,000050,000000000000001890,16.652,EA,16.652,EA,2000,0001,0001009559,000080,20251001
8000000004,000010,000000000000000442,4.888,EA,4.888,EA,3000,0001,0001011568,000020,20251017
8000000004,000020,000000000000001547,80.362,KG,80.362,KG,1000,0001,0001006658,000010,20251017
8000000004,000030,000000000000000120,10.441,L,10.441,L,2000,0001,0001012824,000050,20251017
8000000004,000040,000000000000001710,10.517,EA,10.517,EA,1000,0001,0001000254,000030,20251017
8000000004,000050,000000000000000586,55.049,EA,55.049,EA,1000,0001,0001000154,000030,20251017
8000000005,000010,000000000000001461,139.321,EA,139.321,EA,2000,0001,0001012485,000020,20251015
8000000005,000020,000000000000001888,19.401,EA,19.401,EA,1000,0001,0001007864,000030,20251015
8000000005,000030,000000000000001497,25.293,EA,25.293,EA,3000,0001,0001013942,000050,20251015
8000000005,000040,000000000000000915,12.822,EA,12.822,EA,2000,0001,0001009126,000020,20251015
8000000005,000050,000000000000001307,75.486,EA,75.486,EA,2000,0001,0001009054,000060,20251015
8000000006,000010,000000000000000650,5.395,KG,5.395,KG,1000,0001,0001013152,000090,20251025
8000000006,000020,000000000000000785,42.684,EA,42.684,EA,3000,0001,0001009874,000050,20251025
8000000006,000030,000000000000000003,23.59,KG,23.59,KG,1000,0001,0001008815,000030,20251025
