VBELN,POSNR,PARVW,KUNNR,ADRNR,PERNR
0001000001,000000,AG,0000100842,,
0001000001,000000,WE,0000100842,,
0001000001,000000,RE,0000100842,,
0001000001,000000,RG,0000100842,,
0001000001,000000,SP,0000100842,,10000
0001000002,000000,AG,0000101421,,
0001000002,000000,WE,0000101421,,
0001000002,000000,RE,0000101421,,
0001000002,000000,RG,0000101421,,
0001000002,000000,SP,0000101421,,10000
0001000003,000000,AG,0000104584,,
0001000003,000000,WE,0000104584,,
0001000003,000000,RE,0000104584,,
0001000003,000000,RG,0000104584,,
0001000003,000000,SP,0000104584,,10000
0001000004,000000,AG,0000102135,,
0001000004,000000,WE,0000102135,,
0001000004,000000,RE,0000102135,,
0001000004,000000,RG,0000102135,,
0001000004,000000,SP,0000102135,,10000
0001000005,000000,AG,0000102232,,
0001000005,000000,WE,0000102232,,
0001000005,000000,RE,0000102232,,
0001000005,000000,RG,0000102232,,
0001000005,000000,SP,0000102232,,10000
0001000006,000000,AG,0000100876,,
0001000006,000000,WE,0000100876,,
0001000006,000000,RE,0000100876,,
0001000006,000000,RG,0000100876,,
0001000006,000000,SP,0000100876,,10000
0001000007,000000,AG,0000102932,,
0001000007,000000,WE,0000102932,,
0001000007,000000,RE,0000102932,,
0001000007,000000,RG,0000102932,,
0001000007,000000,SP,0000102932,,10000
0001000008,000000,AG,0000100978,,
0001000008,000000,WE,0000100978,,
0001000008,000000,RE,0000100978,,
0001000008,000000,RG,0000100978,,
0001000008,000000,SP,0000100978,,10000
0001000009,000000,AG,0000101956,,
0001000009,000000,WE,0000101956,,
0001000009,000000,RE,0000101956,,
0001000009,000000,RG,0000101956,,
0001000009,000000,SP,0000101956,,10000
0001000010,000000,AG,0000101262,,
0001000010,000000,WE,0000101262,,
0001000010,000000,RE,0000101262,,
0001000010,000000,RG,0000101262,,
0001000010,000000,SP,0000101262,,10000
0001000011,000000,AG,0000101869,,
0001000011,000000,WE,0000101869,,
0001000011,000000,RE,0000101869,,
0001000011,000000,RG,0000101869,,
0001000011,000000,SP,0000101869,,10000
0001000012,000000,AG,0000102349,,
0001000012,000000,WE,0000102349,,
0001000012,000000,RE,0000102349,,
0001000012,000000,RG,0000102349,,
0001000012,000000,SP,0000102349,,10000
0001000013,000000,AG,0000102097,,
0001000013,000000,WE,0000102097,,
0001000013,000000,RE,0000102097,,
0001000013,000000,RG,0000102097,,
0001000013,000000,SP,0000102097,,10000
0001000014,000000,AG,0000103238,,
0001000014,000000,WE,0000103238,,
0001000014,000000,RE,0000103238,,
0001000014,000000,RG,0000103238,,
0001000014,000000,SP,0000103238,,10000
0001000015,000000,AG,0000101078,,
0001000015,000000,WE,0000101078,,
0001000015,000000,RE,0000101078,,
0001000015,000000,RG,0000101078,,
0001000015,000000,SP,0000101078,,10000
0001000016,000000,AG,0000100297,,
0001000016,000000,WE,0000100297,,
0001000016,000000,RE,0000100297,,
0001000016,000000,RG,0000100297,,
0001000016,000000,SP,0000100297,,10000
0001000017,000000,AG,0000103810,,
0001000017,000000,WE,0000103810,,
0001000017,000000,RE,0000103810,,
0001000017,000000,RG,0000103810,,
0001000017,000000,SP,0000103810,,10000
0001000018,000000,AG,0000102849,,
0001000018,000000,WE,0000102849,,
