VBELN,LFSTK,FKSTK,GBSTK,ABSTK,LFGSK,FKIVK,UVALL,CMGST
0001000001,C,B,B,,A,,,
0001000002,B,C,C,,A,,,
0001000003,B,B,A,,B,,,B
0001000004,B,C,B,,B,,,
0001000005,B,B,B,,B,,,A
0001000006,A,C,B,,A,,,
0001000007,C,C,B,,C,,,B
0001000008,A,B,A,,A,,,
0001000009,C,C,C,,B,,,B
0001000010,B,B,C,,C,,,B
0001000011,B,A,C,,C,,,A
0001000012,B,B,A,,A,,,
0001000013,B,B,A,,B,,,
0001000014,B,A,B,,B,,,
0001000015,B,B,C,,C,,,B
0001000016,B,C,A,,C,,,
0001000017,C,C,A,,B,,,A
0001000018,A,C,C,,B,,,
0001000019,B,B,B,,A,,,
0001000020,B,B,C,,C,,,
0001000021,A,C,C,,B,,,
0001000022,B,C,B,,A,,,A
0001000023,B,B,B,,B,,,
0001000024,B,B,A,,A,,,A
0001000025,C,A,B,,A,,,A
0001000026,B,C,A,,A,,,
0001000027,C,B,B,,A,,,A
0001000028,C,C,C,,B,,,A
0001000029,B,A,A,,A,,,A
0001000030,B,B,A,,B,,,B
0001000031,C,B,A,,A,,,
0001000032,C,A,A,,B,,,
0001000033,A,B,C,,C,,,
0001000034,B,B,A,,A,,,B
0001000035,C,A,B,,A,,,A
0001000036,B,B,B,,B,,,
0001000037,C,A,C,,A,,,
0001000038,B,C,C,,B,,,
0001000039,B,C,A,,B,,,B
0001000040,A,B,C,,A,,,B
0001000041,C,C,A,,A,,,A
0001000042,B,C,C,,A,,,B
0001000043,B,B,B,,A,,,A
0001000044,A,B,B,,A,,,A
0001000045,B,C,A,,B,,,B
0001000046,A,B,A,,B,,,B
0001000047,B,C,C,,C,,,
0001000048,B,B,A,,A,,,
0001000049,A,C,A,,A,,,A
0001000050,B,A,A,,A,,,
0001000051,C,B,B,,A,,,B
0001000052,B,B,B,,B,,,A
0001000053,C,B,A,,C,,,
0001000054,C,B,C,,B,,,A
0001000055,A,B,A,,A,,,
0001000056,C,A,C,,B,,,
0001000057,B,B,B,,C,,,A
0001000058,C,B,A,,B,,,A
0001000059,C,B,B,,C,,,
0001000060,B,C,B,,A,,,
0001000061,B,C,B,,B,,,
0001000062,C,C,A,,A,,,
0001000063,A,B,B,,B,,,A
0001000064,B,B,C,,B,,,B
0001000065,B,A,A,,A,,,
0001000066,B,B,A,,C,,,
0001000067,B,C,C,,C,,,
0001000068,C,A,C,,B,,,A
0001000069,B,B,B,,B,,,B
0001000070,A,B,A,,B,,,
0001000071,B,B,B,,B,,,
0001000072,B,A,A,,A,,,B
