VBELN,POSNR,LFSTA,FKSTA,GBSTA,ABSTA,LFGSA,WBSTA
0001000001,000010,B,B,C,,B,C
0001000001,000020,A,B,C,,C,B
0001000001,000030,C,C,A,,C,A
0001000001,000040,A,A,A,,A,B
0001000001,000050,C,A,B,,B,A
0001000002,000010,A,C,B,,A,B
0001000002,000020,B,A,B,,B,B
0001000002,000030,B,A,A,,C,B
0001000002,000040,A,A,C,,B,C
0001000002,000050,B,A,B,,B,B
0001000002,000060,A,B,B,,B,A
0001000002,000070,C,C,B,,A,A
0001000003,000010,B,B,A,,B,B
0001000003,000020,A,B,A,,B,B
0001000003,000030,C,B,B,,B,A
0001000003,000040,B,B,A,,C,A
0001000003,000050,C,B,A,,B,B
0001000003,000060,A,B,A,,C,C
0001000004,000010,A,B,C,,C,B
0001000004,000020,B,C,A,,A,A
0001000004,000030,B,A,B,,A,C
0001000004,000040,B,A,C,,B,A
0001000004,000050,B,C,A,,B,B
0001000004,000060,A,B,A,,A,C
0001000004,000070,B,A,A,,B,B
0001000004,000080,C,C,B,,B,A
0001000004,000090,A,B,C,,B,B
0001000005,000010,A,C,B,,A,C
0001000005,000020,B,C,A,,B,B
0001000005,000030,B,C,A,,B,B
0001000005,000040,C,A,A,,A,C
0001000005,000050,A,C,B,,A,A
0001000005,000060,B,A,A,,C,B
0001000005,000070,C,A,B,,B,A
0001000005,000080,B,C,A,,A,B
0001000006,000010,B,B,C,,A,B
0001000006,000020,A,A,A,,A,A
0001000006,000030,B,C,B,,B,A
0001000006,000040,B,A,C,,A,B
0001000006,000050,B,A,B,,B,B
0001000006,000060,B,B,A,,B,A
0001000006,000070,C,B,B,,B,B
0001000006,000080,C,A,B,,A,A
0001000006,000090,A,B,B,,B,A
0001000007,000010,B,C,B,,A,C
0001000007,000020,B,A,B,,B,C
0001000007,000030,A,C,B,,A,B
0001000007,000040,B,B,A,,B,B
0001000007,000050,C,B,B,,B,C
0001000007,000060,C,A,A,,B,B
0001000007,000070,A,A,B,,C,A
0001000008,000010,B,A,C,,A,C
0001000008,000020,B,A,A,,A,C
0001000008,000030,B,B,A,,B,B
0001000008,000040,A,A,C,,B,A
0001000009,000010,B,B,A,,A,B
0001000009,000020,B,B,A,,C,A
0001000009,000030,C,C,B,,B,A
0001000009,000040,B,C,A,,B,B
0001000010,000010,A,B,B,,B,A
0001000010,000020,B,C,A,,B,A
0001000010,000030,B,B,A,,B,B
0001000011,000010,C,C,A,,B,B
0001000011,000020,A,B,B,,B,C
0001000011,000030,B,C,C,,C,A
0001000012,000010,A,B,A,,A,A
0001000012,000020,B,C,B,,B,C
0001000012,000030,B,B,A,,A,B
0001000012,000040,B,B,B,,C,B
0001000013,000010,A,B,C,,B,C
0001000013,000020,B,B,A,,C,A
0001000013,000030,A,B,B,,B,A
0001000013,000040,B,A,A,,B,A
0001000013,000050,A,B,B,,B,C
0001000013,000060,B,B,B,,C,B
0001000013,000070,B,A,C,,C,A
0001000013,000080,B,C,B,,B,B
0001000014,000010,C,C,A,,A,A
0001000015,000010,B,A,A,,C,B
0001000015,000020,B,A,B,,B,A
0001000015,000030,B,C,A,,C,A
0001000015,000040,A,C,B,,C,B
0001000016,000010,B,C,C,,B,C
0001000016,000020,A,B,B,,A,A
0001000016,000030,B,A,A,,C,A
0001000016,000040,B,C,C,,C,B
0001000016,000050,B,B,A,,A,B
0001000016,000060,B,B,A,,B,A
0001000017,000010,C,B,A,,B,B
0001000017,000020,B,B,B,,B,B
0001000017,000030,B,A,A,,B,C
0001000017,000040,A,C,A,,C,A
0001000017,000050,A,B,C,,C,C
0001000017,000060,A,A,B,,B,C
0001000017,000070,A,C,B,,A,C
0001000018,000010,B,B,B,,C,B
0001000018,000020,B,C,B,,A,B
0001000018,000030,B,C,C,,B,B
0001000018,000040,A,A,A,,A,A
0001000018,000050,B,B,C,,C,B
0001000018,000060,B,B,B,,C,C
0001000018,000070,B,B,A,,B,A
0001000018,000080,B,C,A,,B,A
0001000018,000090,C,C,B,,B,A
0001000019,000010,B,C,A,,B,A
0001000019,000020,C,B,B,,A,A
0001000019,000030,B,B,B,,C,A
0001000019,000040,C,B,B,,C,C
0001000019,000050,C,A,B,,B,A
0001000019,000060,A,B,A,,A,A
0001000019,000070,B,A,B,,B,B
0001000020,000010,C,B,B,,C,A
0001000020,000020,C,A,C,,B,B
0001000020,000030,B,A,A,,B,C
0001000020,000040,A,C,A,,B,B
0001000021,000010,A,A,B,,B,A
0001000021,000020,B,B,A,,B,B
0001000021,000030,A,C,B,,B,A
0001000021,000040,B,A,B,,C,A
0001000022,000010,A,A,A,,C,B
0001000022,000020,B,B,B,,A,A
0001000022,000030,C,B,B,,B,B
0001000022,000040,B,B,C,,C,C
0001000022,000050,B,B,B,,B,C
0001000022,000060,A,B,A,,A,B
0001000022,000070,B,B,A,,B,B
0001000022,000080,A,A,B,,B,B
0001000023,000010,A,B,A,,B,A
0001000023,000020,B,A,B,,A,B
0001000023,000030,B,A,C,,B,B
0001000023,000040,B,B,C,,C,B
0001000023,000050,B,B,A,,B,B
0001000023,000060,B,A,B,,A,A
0001000024,000010,C,B,C,,B,B
0001000024,000020,B,C,B,,B,A
0001000024,000030,B,B,C,,C,A
0001000025,000010,C,B,C,,B,A
0001000026,000010,C,B,C,,C,B
0001000026,000020,B,B,B,,B,B
0001000026,000030,B,B,C,,B,C
0001000026,000040,B,B,B,,C,A
0001000026,000050,B,A,A,,B,B
0001000027,000010,C,B,B,,B,C
0001000027,000020,A,C,B,,A,A
0001000027,000030,A,B,A,,B,A
0001000027,000040,B,A,C,,A,A
0001000027,000050,B,B,A,,B,B
0001000027,000060,B,B,C,,C,C
0001000027,000070,C,B,B,,C,B
0001000027,000080,C,C,B,,A,B
0001000028,000010,B,B,A,,B,B
0001000028,000020,C,A,C,,B,A
0001000028,000030,B,C,C,,B,A
0001000028,000040,B,C,C,,A,A
0001000028,000050,A,C,B,,B,B
0001000029,000010,A,C,A,,A,A
0001000029,000020,A,C,C,,C,C
0001000029,000030,C,B,B,,A,C
0001000029,000040,A,C,A,,A,A
0001000029,000050,B,C,A,,C,B
0001000029,000060,B,B,C,,B,B
0001000029,000070,C,A,C,,C,B
0001000029,000080,C,C,C,,C,C
0001000030,000010,C,A,A,,B,B
0001000030,000020,A,B,B,,C,A
0001000030,000030,A,A,A,,B,B
0001000030,000040,B,B,C,,B,B
0001000030,000050,B,B,A,,B,A
0001000031,000010,B,B,A,,B,B
0001000031,000020,C,B,C,,A,B
0001000031,000030,B,B,A,,A,A
0001000032,000010,A,B,A,,A,B
0001000032,000020,B,B,A,,B,B
0001000032,000030,B,C,B,,C,A
0001000032,000040,A,B,B,,A,B
0001000032,000050,B,C,C,,B,A
0001000033,000010,A,C,A,,B,C
0001000033,000020,B,B,B,,C,A
0001000033,000030,B,A,A,,B,A
0001000033,000040,B,C,B,,A,A
0001000034,000010,B,A,A,,A,A
0001000034,000020,A,B,A,,B,A
0001000034,000030,C,B,A,,B,A
0001000034,000040,C,C,A,,C,B
0001000034,000050,B,B,B,,B,B
0001000035,000010,B,B,C,,A,A
0001000035,000020,C,B,B,,B,C
0001000036,000010,C,B,C,,B,A
0001000036,000020,A,A,C,,A,A
0001000036,000030,A,C,B,,C,B
0001000036,000040,B,B,B,,C,A
0001000036,000050,C,A,B,,C,C
0001000037,000010,A,A,B,,A,C
0001000037,000020,B,B,B,,B,C
0001000037,000030,C,C,B,,B,B
0001000037,000040,B,B,A,,C,A
0001000037,000050,A,B,A,,B,A
0001000037,000060,B,B,A,,A,B
0001000037,000070,A,B,C,,B,B
0001000037,000080,C,B,A,,C,B
0001000038,000010,C,B,B,,A,B
0001000038,000020,B,B,A,,A,A
0001000038,000030,B,B,A,,C,C
0001000038,000040,A,B,C,,B,B
0001000038,000050,C,B,A,,A,B
0001000038,000060,B,A,C,,B,A
0001000038,000070,A,C,A,,A,A
0001000039,000010,A,A,C,,A,B
0001000039,000020,B,B,A,,B,B
0001000039,000030,B,A,A,,A,B
0001000039,000040,B,A,B,,B,C
0001000039,000050,C,C,A,,B,C
0001000039,000060,A,C,C,,A,A
0001000039,000070,B,C,B,,B,A
0001000039,000080,B,B,C,,C,B
0001000039,000090,C,B,A,,B,C
0001000039,000100,B,A,C,,B,A
0001000040,000010,B,C,C,,B,B
0001000040,000020,B,B,B,,B,B
0001000040,000030,B,B,B,,A,B
0001000040,000040,A,C,A,,A,A
0001000040,000050,C,B,A,,A,C
0001000041,000010,C,A,B,,B,B
0001000041,000020,B,B,A,,B,A
0001000041,000030,A,B,A,,C,A
0001000041,000040,B,A,B,,B,A
0001000041,000050,B,C,C,,B,B
0001000041,000060,C,A,C,,C,A
0001000041,000070,A,B,C,,C,C
0001000042,000010,B,C,A,,C,A
0001000042,000020,B,C,C,,A,A
0001000042,000030,B,C,C,,B,B
0001000042,000040,B,C,A,,B,A
0001000042,000050,B,B,A,,B,C
0001000042,000060,A,B,B,,B,B
0001000043,000010,A,B,C,,B,B
0001000043,000020,B,B,C,,B,A
0001000043,000030,B,B,B,,C,A
0001000043,000040,B,B,A,,A,C
0001000044,000010,B,B,A,,B,A
0001000044,000020,C,B,A,,B,B
0001000044,000030,B,B,A,,B,C
0001000045,000010,C,B,B,,A,C
0001000045,000020,A,C,C,,A,B
0001000046,000010,B,A,A,,B,A
0001000046,000020,B,B,C,,B,B
0001000046,000030,B,C,B,,B,A
0001000047,000010,A,B,B,,B,B
0001000047,000020,B,B,C,,A,B
0001000047,000030,C,B,A,,B,C
0001000047,000040,C,B,C,,A,B
0001000048,000010,B,B,B,,A,A
0001000048,000020,B,C,B,,A,A
0001000048,000030,C,B,B,,A,B
0001000048,000040,B,A,C,,B,A
0001000048,000050,B,B,C,,B,A
0001000049,000010,A,C,A,,B,B
0001000049,000020,A,B,B,,C,B
0001000049,000030,C,A,B,,B,A
0001000049,000040,A,B,C,,A,B
0001000049,000050,B,B,B,,B,B
0001000049,000060,B,A,A,,C,C
0001000049,000070,A,A,B,,B,A
0001000049,000080,A,B,C,,A,B
0001000050,000010,A,C,A,,C,B
0001000050,000020,A,B,B,,C,A
0001000050,000030,C,A,B,,C,B
0001000050,000040,A,C,A,,B,A
0001000051,000010,B,B,B,,B,A
0001000051,000020,B,C,B,,B,B
0001000051,000030,A,C,A,,B,A
0001000051,000040,B,B,B,,B,A
0001000051,000050,B,B,B,,C,C
0001000051,000060,B,C,A,,B,A
0001000051,000070,B,A,A,,C,B
0001000052,000010,B,C,C,,B,B
0001000052,000020,B,C,B,,B,B
0001000052,000030,B,A,B,,A,A
0001000052,000040,A,C,B,,B,A
0001000052,000050,B,C,C,,A,A
0001000052,000060,C,C,B,,B,A
0001000052,000070,C,C,B,,B,A
0001000052,000080,A,A,B,,B,B
0001000053,000010,C,A,A,,C,B
0001000054,000010,B,B,C,,C,C
0001000054,000020,B,A,A,,A,A
0001000054,000030,C,A,C,,B,A
0001000054,000040,B,B,B,,A,B
0001000055,000010,B,B,A,,B,C
0001000055,000020,B,A,B,,B,B
0001000055,000030,C,C,A,,C,C
