TKNUM,SHTYP,ERNAM,ERDAT,DATEN,DATBI,VSTEL,TDLNR
0700000001,ZSTD,SHIPUSER,20251017,20251017,20251019,20001,CARR4
0700000002,ZSTD,SHIPUSER,20250929,20250929,20251001,10001,CARR3
0700000003,ZSTD,SHIPUSER,20250930,20250930,20251002,20001,CARR5
0700000004,ZSTD,SHIPUSER,20251008,20251008,20251010,10001,CARR1
0700000005,ZSTD,SHIPUSER,20251017,20251017,20251019,10001,CARR5
0700000006,ZSTD,SHIPUSER,20251012,20251012,20251014,10001,CARR1
0700000007,ZSTD,SHIPUSER,20251012,20251012,20251014,20001,CARR1
0700000008,ZSTD,SHIPUSER,20251026,20251026,20251028,10001,CARR1
0700000009,ZSTD,SHIPUSER,20251028,20251028,20251030,10001,CARR3
0700000010,ZSTD,SHIPUSER,20251010,20251010,20251012,10001,CARR1
0700000011,ZSTD,SHIPUSER,20251019,20251019,20251021,20001,CARR2
0700000012,ZSTD,SHIPUSER,20251012,20251012,20251014,20001,CARR3
0700000013,ZSTD,SHIPUSER,20251025,20251025,20251027,20001,CARR3
0700000014,ZSTD,SHIPUSER,20251002,20251002,20251004,10001,CARR4
0700000015,ZSTD,SHIPUSER,20251020,20251020,20251022,20001,CARR5
0700000016,ZSTD,SHIPUSER,20251010,20251010,20251012,20001,CARR4
0700000017,ZSTD,SHIPUSER,20251020,20251020,20251022,30001,CARR4
0700000018,ZSTD,SHIPUSER,20251015,20251015,20251017,10001,CARR4
0700000019,ZSTD,SHIPUSER,20251007,20251007,20251009,10001,CARR2
0700000020,ZSTD,SHIPUSER,20251024,20251024,20251026,20001,CARR4
0700000021,ZSTD,SHIPUSER,20251011,20251011,20251013,30001,CARR3
0700000022,ZSTD,SHIPUSER,20251005,20251005,20251007,30001,CARR1
0700000023,ZSTD,SHIPUSER,20251014,20251014,20251016,20001,CARR2
0700000024,ZSTD,SHIPUSER,20251011,20251011,20251013,20001,CARR2
0700000025,ZSTD,SHIPUSER,20251005,20251005,20251007,10001,CARR4
0700000026,ZSTD,SHIPUSER,20251021,20251021,20251023,20001,CARR3
0700000027,ZSTD,SHIPUSER,20251008,20251008,20251010,10001,CARR2
0700000028,ZSTD,SHIPUSER,20251026,20251026,20251028,20001,CARR3
0700000029,ZSTD,SHIPUSER,20251014,20251014,20251016,10001,CARR2
0700000030,ZSTD,SHIPUSER,20251010,20251010,20251012,30001,CARR1
0700000031,ZSTD,SHIPUSER,20251025,20251025,20251027,10001,CARR4
0700000032,ZSTD,SHIPUSER,20251001,20251001,20251003,10001,CARR1
0700000033,ZSTD,SHIPUSER,20251030,20251030,20251101,10001,CARR5
0700000034,ZSTD,SHIPUSER,20251003,20251003,20251005,10001,CARR3
0700000035,ZSTD,SHIPUSER,20251012,20251012,20251014,10001,CARR3
0700000036,ZSTD,SHIPUSER,20251019,20251019,20251021,20001,CARR3
0700000037,ZSTD,SHIPUSER,20251006,20251006,20251008,30001,CARR1
0700000038,ZSTD,SHIPUSER,20251020,20251020,20251022,20001,CARR3
