TKNUM,TPNUM,VBELN,ERDAT
0700000001,0001,8000007133,20251017
0700000002,0001,8000001305,20250929
0700000003,0001,8000005819,20250930
0700000003,0002,8000006265,20250930
0700000004,0001,8000002044,20251008
0700000005,0001,8000002710,20251017
0700000006,0001,8000007473,20251012
0700000007,0001,8000004199,20251012
0700000008,0001,8000004505,20251026
0700000008,0002,8000002492,20251026
0700000008,0003,8000000904,20251026
0700000009,0001,8000008200,20251028
0700000010,0001,8000005004,20251010
0700000010,0002,8000004358,20251010
0700000011,0001,8000004289,20251019
0700000012,0001,8000007547,20251012
0700000013,0001,8000008115,20251025
0700000013,0002,8000005606,20251025
0700000014,0001,8000003231,20251002
0700000015,0001,8000003358,20251020
0700000016,0001,8000005061,20251010
0700000016,0002,8000002127,20251010
0700000017,0001,8000007907,20251020
0700000017,0002,8000000651,20251020
0700000017,0003,8000003608,20251020
0700000018,0001,8000004792,20251015
0700000019,0001,8000000638,20251007
0700000020,0001,8000004259,20251024
0700000021,0001,8000000342,20251011
0700000022,0001,8000001502,20251005
0700000022,0002,8000000220,20251005
0700000023,0001,8000008555,20251014
0700000024,0001,8000001618,20251011
0700000025,0001,8000005963,20251005
0700000026,0001,8000005864,20251021
0700000026,0002,8000000928,20251021
0700000027,0001,8000001590,20251008
0700000028,0001,8000008472,20251026
0700000028,0002,8000003188,20251026
0700000029,0001,8000004256,20251014
0700000029,0002,8000002895,20251014
0700000030,0001,8000007363,20251010
0700000030,0002,8000001752,20251010
0700000031,0001,8000002504,20251025
0700000031,0002,8000003840,20251025
0700000031,0003,8000003915,20251025
0700000032,0001,8000002639,20251001
0700000033,0001,8000004330,20251030
0700000033,0002,8000007198,20251030
0700000034,0001,8000007531,20251003
0700000034,0002,8000002907,20251003
0700000035,0001,8000004993,20251012
0700000035,0002,8000004920,20251012
0700000036,0001,8000001804,20251019
0700000037,0001,8000001550,20251006
0700000038,0001,8000006429,20251020
0700000039,0001,8000007626,20251013
0700000039,0002,8000007738,20251013
0700000040,0001,8000005883,20251016
0700000041,0001,8000006756,20251007
0700000041,0002,8000004949,20251007
0700000042,0001,8000007617,20251022
0700000043,0001,8000006977,20251023
0700000044,0001,8000006205,20251014
0700000045,0001,8000002237,20251022
0700000045,0002,8000004504,20251022
0700000046,0001,8000001726,20251012
0700000047,0001,8000002619,20251007
